department_id,department_name,latitude,longitude,locality,postal_code
70,Haute-Saône,47.793,6.2777,Abelcourt,70300
70,Haute-Saône,47.768,5.9725,Aboncourt-Gesincourt,70500
70,Haute-Saône,47.577,5.6074,Achey,70180
70,Haute-Saône,47.706,6.3942,Adelans-et-le-Val-de-Bithaine,70200
70,Haute-Saône,47.590,6.4178,Aillevans,70110
70,Haute-Saône,47.938,6.3324,Aillevillers-et-Lyaumont,70320
70,Haute-Saône,47.757,6.3888,Ailloncourt,70300
70,Haute-Saône,47.847,6.2439,Ainvelle,70800
70,Haute-Saône,47.888,5.9553,Aisey-et-Richecourt,70500
70,Haute-Saône,47.946,6.0999,Alaincourt,70210
70,Haute-Saône,47.845,6.4980,Amage,70280
70,Haute-Saône,47.790,6.0533,Amance,70160
70,Haute-Saône,47.995,6.1403,Ambiévillers,70210
70,Haute-Saône,47.680,6.4176,Amblans-et-Velotte,70200
70,Haute-Saône,47.734,6.0626,Amoncourt,70170
70,Haute-Saône,47.867,6.5625,Amont-et-Effreney,70310
70,Haute-Saône,47.861,6.1152,Anchenoncourt-et-Chazel,70210
70,Haute-Saône,47.444,5.6364,Ancier,70100
70,Haute-Saône,47.590,6.0907,Andelarre,70000
70,Haute-Saône,47.578,6.0986,Andelarrot,70000
70,Haute-Saône,47.658,6.5984,Andornay,70200
70,Haute-Saône,47.454,5.7732,Angirey,70700
70,Haute-Saône,47.881,6.2094,Anjeux,70800
70,Haute-Saône,47.392,5.5297,Apremont,70100
70,Haute-Saône,47.735,5.9321,Arbecey,70120
70,Haute-Saône,47.462,5.5817,Arc-lès-Gray,70100
70,Haute-Saône,47.664,5.6254,Argillières,70600
70,Haute-Saône,47.613,6.0055,Aroz,70360
70,Haute-Saône,47.620,6.4126,Arpenans,70200
70,Haute-Saône,47.367,5.6315,Arsans,70100
70,Haute-Saône,47.594,6.5151,Athesans-Étroitefontaine,70110
70,Haute-Saône,47.594,6.5151,Athesans-Étroitefontaine,70110
70,Haute-Saône,47.487,5.4112,Attricourt,70100
70,Haute-Saône,47.769,5.8916,Augicourt,70500
70,Haute-Saône,47.375,6.0971,Aulx-lès-Cromary,70190
70,Haute-Saône,47.545,5.7006,Autet,70180
70,Haute-Saône,47.491,6.1444,Authoison,70190
70,Haute-Saône,47.370,5.8247,Autoreille,70700
70,Haute-Saône,47.612,6.3460,Autrey-lès-Cerre,70110
70,Haute-Saône,47.464,5.4652,Autrey-lès-Gray,70100
70,Haute-Saône,47.536,6.3963,Autrey-le-Vay,70110
70,Haute-Saône,47.507,5.5259,Auvet-et-la-Chapelotte,70100
70,Haute-Saône,47.694,6.1544,Auxon,70000
70,Haute-Saône,47.339,5.7757,Avrigney-Virey,70150
70,Haute-Saône,47.339,5.7757,Avrigney-Virey,70150
70,Haute-Saône,47.618,6.4504,Les Aynans,70200
70,Haute-Saône,47.579,6.0478,Baignes,70000
70,Haute-Saône,47.278,5.6276,Bard-lès-Pesmes,70140
70,Haute-Saône,47.870,5.8402,Barges,70500
70,Haute-Saône,47.407,6.1703,La Barre,70190
70,Haute-Saône,47.947,6.0547,La Basse-Vaivre,70210
70,Haute-Saône,47.824,6.1832,Bassigney,70800
70,Haute-Saône,47.502,5.8956,Les Bâties,70130
70,Haute-Saône,47.427,5.6422,Battrans,70100
70,Haute-Saône,47.775,6.3442,Baudoncourt,70300
70,Haute-Saône,47.787,6.0157,Baulay,70160
70,Haute-Saône,47.294,5.7160,Bay,70150
70,Haute-Saône,47.498,5.6934,Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur,70100
70,Haute-Saône,47.498,5.6934,Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur,70100
70,Haute-Saône,47.433,6.1612,Beaumotte-Aubertans,70190
70,Haute-Saône,47.433,6.1612,Beaumotte-Aubertans,70190
70,Haute-Saône,47.318,5.8320,Beaumotte-lès-Pin,70150
70,Haute-Saône,47.786,6.7320,Belfahy,70290
70,Haute-Saône,47.781,6.4979,Belmont,70270
70,Haute-Saône,47.773,6.6086,Belonchamp,70270
70,Haute-Saône,47.627,6.6554,Belverne,70400
70,Haute-Saône,47.449,6.2518,Besnans,70230
70,Haute-Saône,47.865,5.9185,Betaucourt,70500
70,Haute-Saône,47.737,6.3432,Betoncourt-lès-Brotte,70300
70,Haute-Saône,47.917,6.1820,Betoncourt-Saint-Pancras,70210
70,Haute-Saône,47.837,5.7551,Betoncourt-sur-Mance,70500
70,Haute-Saône,47.868,6.6730,Beulotte-Saint-Laurent,70310
70,Haute-Saône,47.559,6.4913,Beveuge,70110
70,Haute-Saône,47.885,5.8713,Blondefontaine,70500
70,Haute-Saône,47.341,5.6962,Bonboillon,70150
70,Haute-Saône,47.393,5.9310,Bonnevent-Velloreille,70700
70,Haute-Saône,47.580,6.3517,Borey,70110
70,Haute-Saône,47.783,5.8624,Bougey,70500
70,Haute-Saône,47.694,6.1077,Bougnon,70170
70,Haute-Saône,47.472,5.5104,Bouhans-et-Feurg,70100
70,Haute-Saône,47.696,6.4380,Bouhans-lès-Lure,70200
70,Haute-Saône,47.485,6.2804,Bouhans-lès-Montbozon,70230
70,Haute-Saône,47.911,6.2482,Bouligney,70800
70,Haute-Saône,47.354,5.9599,Boulot,70190
70,Haute-Saône,47.384,6.0025,Boult,70190
70,Haute-Saône,47.914,5.9453,Bourbévelle,70500
70,Haute-Saône,47.815,6.1574,Bourguignon-lès-Conflans,70800
70,Haute-Saône,47.507,5.9649,Bourguignon-lès-la-Charité,70190
70,Haute-Saône,47.707,5.7073,Bourguignon-lès-Morey,70120
70,Haute-Saône,47.614,6.0372,Boursières,70000
70,Haute-Saône,47.963,5.9360,Bousseraucourt,70500
70,Haute-Saône,47.261,5.6329,Bresilley,70140
70,Haute-Saône,47.799,6.3285,Breuches,70300
70,Haute-Saône,47.830,6.4618,Breuchotte,70280
70,Haute-Saône,47.744,6.1454,Breurey-lès-Faverney,70160
70,Haute-Saône,47.578,6.7964,Brevilliers,70400
70,Haute-Saône,47.820,6.2466,Briaucourt,70800
70,Haute-Saône,47.750,6.3451,Brotte-lès-Luxeuil,70300
70,Haute-Saône,47.607,5.7365,Brotte-lès-Ray,70180
70,Haute-Saône,47.459,5.4303,Broye-les-Loups-et-Verfontaine,70100
70,Haute-Saône,47.330,5.5187,Broye-Aubigney-Montseugny,70140
70,Haute-Saône,47.330,5.5187,Broye-Aubigney-Montseugny,70140
70,Haute-Saône,47.330,5.5187,Broye-Aubigney-Montseugny,70140
70,Haute-Saône,47.307,5.8087,Brussey,70150
70,Haute-Saône,47.812,6.4698,La Bruyère,70280
70,Haute-Saône,47.405,5.8603,Bucey-lès-Gy,70700
