department_id,department_name,latitude,longitude,locality,postal_code
44,Loire-Atlantique,47.556,-1.493,Abbaretz,44170
44,Loire-Atlantique,47.071,-1.415,Aigrefeuille-sur-Maine,44140
44,Loire-Atlantique,47.383,-1.182,Ancenis,44150
44,Loire-Atlantique,47.159,-1.954,Chaumes-en-Retz,44320
44,Loire-Atlantique,47.159,-1.954,Chaumes-en-Retz,44320
44,Loire-Atlantique,47.159,-1.954,Chaumes-en-Retz,44680
44,Loire-Atlantique,47.437,-2.412,Assérac,44410
44,Loire-Atlantique,47.437,-2.412,Assérac,44410
44,Loire-Atlantique,47.635,-1.970,Avessac,44460
44,Loire-Atlantique,47.212,-1.462,Basse-Goulaine,44115
44,Loire-Atlantique,47.284,-2.474,Batz-sur-Mer,44740
44,Loire-Atlantique,47.085,-2.031,La Bernerie-en-Retz,44760
44,Loire-Atlantique,47.380,-2.074,Besné,44160
44,Loire-Atlantique,47.100,-1.509,Le Bignon,44140
44,Loire-Atlantique,47.462,-1.767,Blain,44130
44,Loire-Atlantique,47.462,-1.767,Blain,44130
44,Loire-Atlantique,47.462,-1.767,Blain,44130
44,Loire-Atlantique,47.235,-1.203,La Boissière-du-Doré,44430
44,Loire-Atlantique,47.519,-1.231,Bonnœuvre,44540
44,Loire-Atlantique,47.147,-1.672,Bouaye,44830
44,Loire-Atlantique,47.304,-1.912,Bouée,44260
44,Loire-Atlantique,47.170,-1.617,Bouguenais,44340
44,Loire-Atlantique,47.170,-1.617,Bouguenais,44340
44,Loire-Atlantique,47.038,-1.925,Villeneuve-en-Retz,44580
44,Loire-Atlantique,47.038,-1.925,Villeneuve-en-Retz,44580
44,Loire-Atlantique,47.038,-1.925,Villeneuve-en-Retz,44580
44,Loire-Atlantique,47.053,-1.163,Boussay,44190
44,Loire-Atlantique,47.417,-1.877,Bouvron,44130
44,Loire-Atlantique,47.170,-1.726,Brains,44830
44,Loire-Atlantique,47.416,-1.967,Campbon,44750
44,Loire-Atlantique,47.301,-1.472,Carquefou,44470
44,Loire-Atlantique,47.392,-1.555,Casson,44390
44,Loire-Atlantique,47.337,-1.359,Le Cellier,44850
44,Loire-Atlantique,47.280,-1.349,Divatte-sur-Loire,44450
44,Loire-Atlantique,47.280,-1.349,Divatte-sur-Loire,44450
44,Loire-Atlantique,47.437,-2.245,La Chapelle-des-Marais,44410
44,Loire-Atlantique,47.620,-1.195,La Chapelle-Glain,44670
44,Loire-Atlantique,47.172,-1.349,La Chapelle-Heulin,44330
44,Loire-Atlantique,47.353,-1.981,La Chapelle-Launay,44260
44,Loire-Atlantique,47.303,-1.560,La Chapelle-sur-Erdre,44240
44,Loire-Atlantique,47.722,-1.386,Châteaubriant,44110
44,Loire-Atlantique,47.115,-1.438,Château-Thébaud,44690
44,Loire-Atlantique,47.158,-2.012,Chauvé,44320
44,Loire-Atlantique,47.181,-1.798,Cheix-en-Retz,44640
44,Loire-Atlantique,47.089,-1.596,La Chevrolière,44118
44,Loire-Atlantique,47.089,-1.596,La Chevrolière,44118
44,Loire-Atlantique,47.097,-1.270,Clisson,44190
44,Loire-Atlantique,47.648,-1.762,Conquereuil,44290
44,Loire-Atlantique,47.296,-1.835,Cordemais,44360
44,Loire-Atlantique,47.260,-2.093,Corsept,44560
44,Loire-Atlantique,47.230,-1.729,Couëron,44220
44,Loire-Atlantique,47.230,-1.729,Couëron,44220
44,Loire-Atlantique,47.388,-1.292,Couffé,44521
