department_id,department_name,latitude,longitude,locality,postal_code
973,Guyane,3.9409,-52.51,Régina,97353
973,Guyane,3.9409,-52.51,Régina,97390
973,Guyane,5.0217,-52.50,Cayenne,97300
973,Guyane,5.2729,-53.32,Iracoubo,97350
973,Guyane,4.9336,-52.76,Kourou,97310
973,Guyane,4.9823,-52.50,Macouria,97355
973,Guyane,4.9828,-53.64,Mana,97318
973,Guyane,4.9828,-53.64,Mana,97360
973,Guyane,4.8317,-52.34,Matoury,97351
973,Guyane,3.7420,-52.13,Saint-Georges,97313
973,Guyane,4.8843,-52.27,Remire-Montjoly,97354
973,Guyane,4.4646,-52.51,Roura,97311
973,Guyane,4.4646,-52.51,Roura,97352
973,Guyane,4.9647,-53.98,Saint-Laurent-du-Maroni,97320
973,Guyane,5.2319,-53.01,Sinnamary,97315
973,Guyane,4.8095,-52.50,Montsinéry-Tonnegrande,97356
973,Guyane,4.1909,-51.81,Ouanary,97380
973,Guyane,3.9159,-53.39,Saül,97314
973,Guyane,2.9708,-53.75,Maripasoula,97370
973,Guyane,2.8379,-52.79,Camopi,97330
973,Guyane,4.3843,-54.17,Grand-Santi,97340
973,Guyane,4.5292,-53.10,Saint-Élie,97312
973,Guyane,4.8304,-54.27,Apatou,97317
973,Guyane,5.6835,-53.91,Awala-Yalimapo,97319
973,Guyane,4.0415,-54.04,Papaichton,97316
