department_id,department_name,latitude,longitude,locality,postal_code
2B,Haute-Corse,42.893,9.4098,Luri,20228
2B,Haute-Corse,42.893,9.4098,Luri,20228
2B,Haute-Corse,42.370,8.8189,Manso,20245
2B,Haute-Corse,42.283,9.3875,Matra,20270
2B,Haute-Corse,42.494,8.9643,Mausoléo,20259
2B,Haute-Corse,42.304,9.3284,Mazzola,20212
2B,Haute-Corse,42.920,9.4368,Meria,20287
2B,Haute-Corse,42.281,9.4103,Moïta,20270
2B,Haute-Corse,42.474,9.1232,Moltifao,20218
2B,Haute-Corse,42.381,9.4050,Monacia-d'Orezza,20229
2B,Haute-Corse,42.503,8.8194,Moncale,20214
2B,Haute-Corse,42.483,9.4012,Monte,20290
2B,Haute-Corse,42.543,8.8562,Montegrosso,20214
2B,Haute-Corse,42.543,8.8562,Montegrosso,20214
2B,Haute-Corse,42.543,8.8562,Montegrosso,20214
2B,Haute-Corse,42.543,8.8562,Montegrosso,20214
2B,Haute-Corse,42.621,8.9612,Monticello,20220
2B,Haute-Corse,42.447,9.2546,Morosaglia,20218
2B,Haute-Corse,42.447,9.2546,Morosaglia,20218
2B,Haute-Corse,42.935,9.3734,Morsiglia,20238
2B,Haute-Corse,42.168,9.1899,Muracciole,20219
2B,Haute-Corse,42.567,9.3270,Murato,20239
2B,Haute-Corse,42.546,8.9171,Muro,20225
2B,Haute-Corse,42.549,8.9557,Nessa,20225
2B,Haute-Corse,42.395,9.3491,Nocario,20229
2B,Haute-Corse,42.202,9.2097,Noceta,20242
2B,Haute-Corse,42.788,9.3543,Nonza,20217
2B,Haute-Corse,42.304,9.4108,Novale,20234
2B,Haute-Corse,42.597,9.1035,Novella,20226
2B,Haute-Corse,42.592,9.0060,Occhiatana,20226
2B,Haute-Corse,42.822,9.3541,Ogliastro,20217
2B,Haute-Corse,42.806,9.3865,Olcani,20217
2B,Haute-Corse,42.641,9.3332,Oletta,20232
2B,Haute-Corse,42.766,9.3779,Olmeta-di-Capocorso,20217
2B,Haute-Corse,42.612,9.3643,Olmeta-di-Tuda,20232
2B,Haute-Corse,42.520,9.0200,Olmi-Cappella,20259
2B,Haute-Corse,42.501,9.4134,Olmo,20290
2B,Haute-Corse,42.382,9.1936,Omessa,20236
2B,Haute-Corse,42.382,9.1936,Omessa,20236
2B,Haute-Corse,42.310,9.4346,Ortale,20234
2B,Haute-Corse,42.456,9.3448,Ortiporio,20290
2B,Haute-Corse,42.630,9.0573,Palasca,20226
2B,Haute-Corse,42.196,9.4049,Pancheraccia,20251
2B,Haute-Corse,42.196,9.4049,Pancheraccia,20270
2B,Haute-Corse,42.367,9.4191,Parata,20229
2B,Haute-Corse,42.706,9.3670,Patrimonio,20253
2B,Haute-Corse,42.463,9.3721,Penta-Acquatella,20290
2B,Haute-Corse,42.454,9.4960,Penta-di-Casinca,20213
2B,Haute-Corse,42.454,9.4960,Penta-di-Casinca,20213
2B,Haute-Corse,42.314,9.3890,Perelli,20234
2B,Haute-Corse,42.416,9.4637,Pero-Casevecchie,20230
2B,Haute-Corse,42.297,9.3564,Pianello,20272
2B,Haute-Corse,42.441,9.3968,Piano,20215
