department_id,department_name,latitude,longitude,locality,postal_code
2A,Corse-du-Sud,41.813,9.3522,Sari-Solenzara,20145
2A,Corse-du-Sud,42.064,8.8337,Sari-d'Orcino,20151
2A,Corse-du-Sud,42.001,8.8343,Sarrola-Carcopino,20167
2A,Corse-du-Sud,41.571,8.9353,Sartène,20100
2A,Corse-du-Sud,41.741,8.8125,Serra-di-Ferro,20140
2A,Corse-du-Sud,41.741,8.8125,Serra-di-Ferro,20140
2A,Corse-du-Sud,41.778,9.1098,Serra-di-Scopamène,20127
2A,Corse-du-Sud,42.307,8.7324,Serriera,20147
2A,Corse-du-Sud,42.209,8.9225,Soccia,20125
2A,Corse-du-Sud,41.741,8.8801,Sollacaro,20140
2A,Corse-du-Sud,41.750,9.1157,Sorbollano,20152
2A,Corse-du-Sud,41.555,9.1820,Sotta,20146
2A,Corse-du-Sud,42.044,8.7890,Sant'Andréa-d'Orcino,20151
2A,Corse-du-Sud,41.680,9.2331,San-Gavino-di-Carbini,20170
2A,Corse-du-Sud,41.668,9.0611,Sainte-Lucie-de-Tallano,20112
2A,Corse-du-Sud,41.725,9.0088,Santa-Maria-Figaniella,20143
2A,Corse-du-Sud,41.883,8.9799,Santa-Maria-Siché,20190
2A,Corse-du-Sud,41.950,9.0933,Tasso,20134
2A,Corse-du-Sud,42.031,8.8843,Tavaco,20167
2A,Corse-du-Sud,42.069,9.0160,Tavera,20163
2A,Corse-du-Sud,41.968,8.9690,Tolla,20117
2A,Corse-du-Sud,42.046,8.9823,Ucciani,20133
2A,Corse-du-Sud,41.826,8.9492,Urbalacone,20128
2A,Corse-du-Sud,42.023,8.8195,Valle-di-Mezzana,20167
2A,Corse-du-Sud,42.061,8.9218,Vero,20172
2A,Corse-du-Sud,42.150,8.7305,Vico,20118
2A,Corse-du-Sud,42.150,8.7305,Vico,20160
2A,Corse-du-Sud,41.669,8.9453,Viggianello,20110
2A,Corse-du-Sud,41.963,8.6697,Villanova,20167
2A,Corse-du-Sud,41.751,9.0573,Zérubia,20116
2A,Corse-du-Sud,41.886,9.0446,Zévaco,20173
2A,Corse-du-Sud,41.884,9.1668,Zicavo,20132
2A,Corse-du-Sud,41.834,8.9837,Zigliara,20190
2A,Corse-du-Sud,41.721,9.2662,Zonza,20124
2A,Corse-du-Sud,41.721,9.2662,Zonza,20144
2A,Corse-du-Sud,41.721,9.0717,Zoza,20112
