department_id,department_name,latitude,longitude,locality,postal_code
16,Charente,46.099,0.7158,Abzac,16500
16,Charente,46.078,0.2031,Les Adjots,16700
16,Charente,45.776,0.3280,Agris,16110
16,Charente,45.449,0.1394,Aignes-et-Puypéroux,16190
16,Charente,45.889,-0.000,Aigre,16140
16,Charente,46.020,0.5258,Alloue,16490
16,Charente,45.856,0.0591,Ambérac,16140
16,Charente,45.974,0.5564,Ambernac,16490
16,Charente,45.558,-0.224,Ambleville,16300
16,Charente,45.768,0.2060,Anais,16560
16,Charente,45.613,-0.289,Angeac-Champagne,16130
16,Charente,45.623,-0.081,Angeac-Charente,16120
16,Charente,45.478,-0.055,Angeduc,16300
16,Charente,45.647,0.1451,Angoulême,16000
16,Charente,45.994,0.6197,Ansac-sur-Vienne,16500
16,Charente,45.831,-0.121,Anville,16170
16,Charente,45.637,-0.402,Ars,16130
16,Charente,45.707,0.0487,Asnières-sur-Nouère,16290
16,Charente,45.260,0.1679,Aubeterre-sur-Dronne,16390
16,Charente,45.915,0.2557,Aunac-sur-Charente,16460
16,Charente,45.821,0.2155,Aussac-Vadalle,16560
16,Charente,45.374,-0.254,Baignes-Sainte-Radegonde,16360
16,Charente,45.712,0.1341,Balzac,16430
16,Charente,45.911,-0.088,Barbezières,16140
16,Charente,45.478,-0.157,Barbezieux-Saint-Hilaire,16300
16,Charente,45.478,-0.157,Barbezieux-Saint-Hilaire,16300
16,Charente,45.300,-0.014,Bardenac,16210
16,Charente,45.489,-0.206,Barret,16300
16,Charente,46.005,0.2358,Barro,16700
16,Charente,45.664,-0.099,Bassac,16120
16,Charente,45.924,0.2255,Bayers,16460
16,Charente,45.221,0.0368,Bazac,16210
16,Charente,45.927,0.3727,Beaulieu-sur-Sonnette,16450
16,Charente,45.501,0.0786,Bécheresse,16250
16,Charente,45.312,0.1167,Bellon,16210
16,Charente,46.038,0.4526,Benest,16350
16,Charente,46.052,0.1709,Bernac,16700
16,Charente,45.390,-0.066,Berneuil,16480
16,Charente,45.431,-0.013,Bessac,16250
16,Charente,45.958,0.0818,Bessé,16140
16,Charente,46.030,0.2704,Bioussac,16700
16,Charente,45.563,-0.055,Birac,16120
16,Charente,45.471,0.0236,Côteaux du Blanzacais,16250
16,Charente,45.471,0.0236,Côteaux du Blanzacais,16250
16,Charente,45.473,0.3131,Blanzaguet-Saint-Cybard,16320
16,Charente,45.329,-0.159,Boisbreteau,16480
16,Charente,45.236,0.1435,Bonnes,16390
16,Charente,45.575,-0.135,Bonneuil,16120
