zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
47000,MAISON - 71m2 - AGEN#f97fbde2fd45,f97fbde2fd45,B2,Agen,MAISON - 71m² - AGEN,False,,Smart Investissement,0.628939,44.2061698,186401.5,186401.5,1,,36 Rue de la Masse,T2 Chambre,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjFkZTFiZjlkYTcwMWYyODFkYzk2M2U5ZTIyZTEwMzZkYTJkNTY2OWIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=8b41a6417b839663242c32025e706edc7ad6175ec451d5da8e55b6c8d7bc1aac
47360,Le Hameau#657a093f296c,657a093f296c,C,Prayssas,Le Hameau,True,2011T3,Consultim,0.5044921,44.2905987,126870.89,126870.9,2,EHPAD,La Bichette,Chambre simple,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImQ0NzQzZjM0MjhmYzMwYmMwNzU3M2RkODFlMGMwYWM1N2EwYmIwMjEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=f35ebefa0c563de93b9568333a1d59352de33732ae9080af30470f3a1c3af3d8
47120,Clariane - Duras - Bellevue#196a77d77afb,196a77d77afb,C,Duras,Clariane - Duras - Bellevue,False,,Attentif LMNP,0.1912474,44.6755523,129973,129973,1,EHPAD,9 Rue Bellevue,T1,
47000,STUDENTLY AGEN#7af040a029d8,7af040a029d8,B2,Agen,STUDENTLY AGEN,False,2026T3,LP Promotion,0.6312527,44.1988391,71210,140810,64,,134 Avenue Michelet,T1|T2,
47600,Aquaresort#0b628467895d,0b628467895d,C,Nérac,Aquaresort,True,2007T1,CELAVi pierre,0.3439213,44.1387868,49152,71919.62,2,Tourism,Rue de Bero Bisto,T2|T2 Bis|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImMxMjJlODdmNGVkOGU4ZDg0YjZhYTlhYTAyM2QzYmQxNzZkN2I1ZjQiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=b923dfc63328e5057f0e93c934832babe45ec182ddeadc87666a88929e10e944
47000,Les Magnolias AGEN - 47#aeef4ee679f2,aeef4ee679f2,B2,Agen,Les Magnolias AGEN - 47,True,,Pierre Loyers Conseil,0.6250289,44.196083,75000,75000,1,EHPAD,Rue Roland Goumy,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImIzYTE0NjNjMGRlMmM1ZTE3NTg1MTZjYjJjODkxMTA0NmNkZjM2OTMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=349b34c734e9b25d847a516ffd944dbb91f5dbe27db7181b3fdbe178ba729a80
47000,MAISON - 92m2 - AGEN#36a1ecfff06d,36a1ecfff06d,B2,Agen,MAISON - 92m² - AGEN,False,,Smart Investissement,0.6128948,44.2049599,222440.3,222440.3,1,,"32 Rue des Charretiers,",T3 Chambre,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImY3OTdmYjgwMTMxZGViMDk3MDMzOTI4NGU3ZTZiNDM0NzhjNGQyNTciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=868f8a2fc75cffef1159e447ce191ffd58e0ddf67706e944027a2a527a1b06bd
47000,SERENLY AGEN#94f2810db501,94f2810db501,B2,Agen,SERENLY AGEN,False,2026T4,LP Promotion,0.6299509,44.1977941,143400,194000,87,Senior,141 Rue de Rodrigues,T2|T3,
47000,LES TOITS D'ARCHIMEDE#33b7c23488be,33b7c23488be,B2,Agen,LES TOITS D'ARCHIMEDE,False,2026T2,Groupe Gambetta,0.6251541,44.2035321,80416.67,99166.67,32,Student,2 rue Francis Carco,T1|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjA2MDMzMGQxY2M1MzZjN2UxNjkyODAzOWQ5YmNkZmI5ZDA5YzBhMzMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=068eaa7f1230e86a34c30d40cad447027b78fa1abbf2500dd38c3ef840f5e143
47700,Les Demeures du Lac#cdc732ab013b,cdc732ab013b,C,Casteljaloux,Les Demeures du Lac,True,2005T1,CELAVi pierre,0.0677483,44.2921588,37728.26,63488,4,Tourism,Rte du Mont de Marsan,T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImYxMGQwYzZiYWZlNTBhMjdhNmI5YzU1MDgzN2Y5NTQ4N2VlMjY4MzYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=9f1507fb85a9de83f9ce415939cf42fb6d327bcf6f8d4215e0581a34b4034eaf
