zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
28600,VAL LUISANT 2#9221173c6068,9221173c6068,B1,Luisant,VAL LUISANT 2,False,2028T1,Edouard Denis,1.4730962,48.4290199,293000,293000,1,,80 RUE FRANÇOIS LÉPINE,T4|T5,
28000,Cap West Chartres#bfcae519130f,bfcae519130f,B1,Chartres,Cap West Chartres,True,2012T4,Consultim,1.5456918,48.4522913,95278.42,95278.42,1,Business,"ZAC du Parc d'Archevillier, Rue Gilles de Roberval",Studio|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijg4YjljNDI4MGRmYzJjNjg3MDA2Zjc2ZDFiMGUwZDM4ZjZiMjE2YjIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=389315d89f580550b4d6b5d78ba17c206d9e1d24684a71131edae39a74d4a8f5
28200,L'INEDIT 2#c38ceb0890f8,c38ceb0890f8,C,Châteaudun,L'INEDIT 2,False,2026T4,Nexity,1.3357319,48.0679183,234000,234000,1,,RUE CHARLES PÉGUY,T4|T5,
28100,DOMAINE DES BAS BUISSONS#6ab6ebb57b6b,6ab6ebb57b6b,B1,Dreux,DOMAINE DES BAS BUISSONS,False,,Histoire & Patrimoine,1.3354523,48.7569534,371150,450850,8,,RUE DE LA MUETTE,T1|T1 Bis|T2|T2 Duplex|T2/T3|T3|T3 Duplex|T3/T4 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImQzY2QxMWJkYzZmNWNkYjcwNDk0Mjc5Y2YyYTFmZDUzZTg2MDc2ZWQiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=37d3c22d70b9166ec596c232db802e04f5491edc2c93f7da6b84b9ce5d1f350c
28000,Perspectives - RC#8a044b288306,8a044b288306,B1,Chartres,Perspectives - RC,False,,iSelection,1.5063603,48.4380683,259900,259900,1,,12 Rue de Brétigny,T3,
28000,Lumiflor#0ef6de4cf0d0,0ef6de4cf0d0,B1,Chartres,Lumiflor,False,2025T4,Crédit Agricole Immobilier,1.523922,48.451099,183000,385000,66,,7-9 avenue de Sully,T2|T3|T4|T5,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImVkZTNjZDIwOGRjNzY1OWY5NjUxYTQ2Nzg0YzUwZWIyZTQ2NzdiNjUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=62197546645200e348b30ddc05a78c99ab4ba74286bc52fd6aeb507532f4b3eb
28000,": 15, rue des Grenets#5ed710f4b6f9",5ed710f4b6f9,B1,Chartres,": 15, rue des Grenets",False,,iSelection,1.489571,48.4450159,325500,462500,5,,"Chartres : 15, RUE DES GRENETS",T1|T2|T3,
28000,Green Lane#6479332a0e36,6479332a0e36,B1,Chartres,Green Lane,False,2025T1,Fiducim,1.5070753,48.4366571,262343.33,324400,7,,Rue du Chemin Doux,T2|T3|T4|T5,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjZiMTMzMDJhZTYxNTJkYWM0Njk5OTE3YjllMzA0NzcyNjY5ZjJiOWIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=999f1fa309b0b91b28dcf2fdcbe1f36570ce57b216b1b117a537a0957d4ba67f
28100,La Promenade Royale#103345dbf5ee,103345dbf5ee,B1,Dreux,La Promenade Royale,False,2025T1,SAS Medicis,1.350459,48.734794,145200,212000,10,,Rue Henri Barbusse,T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjI0YjhiNjg0MjQ4M2NlMmZjZTUyMTA5NTc2NTg5MDI2Nzk4ODNmNzQiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=43674c4ccfef362f7e93c4bb3d1c0ba6ef65485261f2b8390e950dcda5f6cee2
28200,L'INEDIT 1#5e89b07d9ce8,5e89b07d9ce8,C,Châteaudun,L'INEDIT 1,False,2026T4,Nexity,1.3357319,48.0679183,139000,215000,13,,RUE CHARLES PÉGUY,T1|T2|T3|T4,
