zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesCount,residenceType,address,typologies,image
10000,City & Park#9aacd9d15b95,9aacd9d15b95,B1,Troyes,City & Park,True,2014T4,Consultim,4.0740708,48.3030876,53855.81,3,Mobility,16 avenue Chomedey de Maisonneuve,Studio,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjdkZTVhYmQ0ZjhlZDNjYTljNmY5MmJmNjcyOWVkMzhkZDY4ODRjNzMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=30d74232a14ea76fd99da7706ba49c4a41dabcee59e1ab17c74b8ec6c00afd00
10000,LES MAGASINS REUNIS#3f085e9963b7,3f085e9963b7,B1,Troyes,LES MAGASINS REUNIS,False,,iSelection,4.0740035,48.2982216,334200,32,,RUE CLAUDE HUEZ|RUE DE LA REPUBLIQUE,T1|T1 pice|T2|T2 Duplex|T2 pices|T3 / T4|T3 pices|T4 pices|T4 pices Duplex|T4/T5 pices Duplex|T5 pices,
10140,Le Parc du Chateau#4beb8b30c720,4beb8b30c720,C,Vendeuvre-sur-Barse,Le Parc du Chateau,True,2009T4,Revenu Pierre,4.4662551,48.233342,120000,1,EHPAD,1 Route de Beurey ,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijc0YzFhOTgyMzM4NDdiMTY2N2MzMTVmZGMwYzdjOTBiZDdhN2ZhZTAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=db4c36139daca9ae6144148dd0cbbafaacb8f86858090cc434487fd4e0f31e6b
10000,LA BONNETERIE#6c70bd78f760,6c70bd78f760,B1,Troyes,LA BONNETERIE,False,,iSelection,4.0694812,48.2946157,397900,5,,2 &amp; 4 RUE DE LA BONNETERIE|14 RUE COLBERT,T2 Duplex|T2 pices|T3 pices,
10000,LA BONNETERIE#6085d9b7954b,6085d9b7954b,B1,Troyes,LA BONNETERIE,False,2025T3,Histoire & Patrimoine,4.0562001,48.2917846,397900,5,,2 & 4 RUE DE LA BONNETERIE|14 RUE COLBERT,T2|T2 Duplex|T3,
10000,LES ANCIENNES TANNERIES#582ec14179b3,582ec14179b3,B1,Troyes,LES ANCIENNES TANNERIES,False,2026T2,Oscar Développement,4.07797,48.295715,167790,15,,5 Rue des Anciennes Tanneries,T2|T2 Duplex|T3|T3 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6InVwbG9hZGluZ182NjM4OWM1YjUyZjE4IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjozODAsImhlaWdodCI6MzAwLCJmaXQiOiJjb3ZlciJ9fX0=?signature=58260d777c9a4b4c00607e77e81dc51632e62a41c8dd3cd4975a93b2c763ed79
10000,LES MAGASINS REUNIS#2ab365ddfdc1,2ab365ddfdc1,B1,Troyes,LES MAGASINS REUNIS,False,,Histoire & Patrimoine,4.0740035,48.2982216,305603,36,,RUE CLAUDE HUEZ|RUE DE LA REPUBLIQUE,T1|T1 Bis|T2|T2 Duplex|T3|T3 / T4|T4|T4 Duplex|T4/T5 Duplex|T5,
