zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
73300,GOELIA La Toussuire - Fontcouverte-la-Toussuire - Les Chalets Goelia#d2d380a086ae,d2d380a086ae,B1,Fontcouverte-la-Toussuire,GOELIA La Toussuire - Fontcouverte-la-Toussuire - Les Chalets Goelia,False,,Attentif LMNP,6.3013671,45.2432666,80029,80029,1,Tourism,73300 Fontcouverte-la-Toussuire,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjI1NjdkYjBjZWUzYzYzMGEyYjViODdhYTNlZjRiMTQ1OTAyYTZlMGUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=111eea06b3d050dd0ccab58f7bf1a0bbf8fe2ae51881163ac126763bff2da27b
73160,Le Present#edbaac381d5f,edbaac381d5f,B1,Cognin,Le Présent,False,2027T1,Care Promotion,5.897611,45.558613,179000,371000,12,,9-11 rue de la Forêt,T1|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjY3ZmRiMjNkZTY0Yjc5ZjZiNmZiMWIxMjg1MWIwMDkzZGY0MjY0NTgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=04ed2581b7914565617ccce11e558f2ce1478e0154c24e9fe9480988550f90e7
73300,Les Alpages du Corbier#8cfabebf4e2c,8cfabebf4e2c,C,Villarembert,Les Alpages du Corbier,True,2008T1,CELAVi pierre,6.279759,45.245774,73565.18,73565.18,1,Tourism,Au Saut,T2|T2 Bis,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImNiMWM0Y2EyNzFjZmQyMTUxZmFiZDEzN2E1MWFkZDdkZTJlNzEzMjYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=00f608f38c0bf0d5cb587276036161f23707069b231ca649da3ab55272f9271d
73000,Kyriad Chambery Centre#034d215cf057,034d215cf057,B1,Chambéry,Kyriad Chambery Centre,True,1992T4,Revenu Pierre,5.9271596,45.5637754,41200,97500,8,Business,371 Rue de la Republique ,T1|T1 Bis|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjRjMWUyNmMyZTRkMmIyNDczZThmNjdmMjRlNDc4M2M3OTgxODQyZTYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=a1773387b6070713e6ab8827e6e81585ca24a27329db5d89b8b80a59b4dbea92
73000,Nohee Chambery CHAMBERY - 73#c252feeefdd6,c252feeefdd6,B1,Chambéry,Nohée Chambéry CHAMBERY - 73,True,,Pierre Loyers Conseil,5.9255086,45.5718357,177887.11,177887.11,1,Senior,"117, rue Amelie Gex",T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImYwNmFlMzVkZDEyZmI1ZGYyYWJhNjQyNWQ0ZjQ4NWY1YTk4MzU4OWYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=62e69a49ec03935e1aec57b06c139864b122245a100c77d5c92d8790b0294439
73500,So Well (Soleil Vacances) - Val Frejus - Hotel Soleil Vacances#c84ae53aba59,c84ae53aba59,C,Modane,So Well (Soleil Vacances) - Val Fréjus - Hôtel Soleil Vacances,False,,Attentif LMNP,6.6533709,45.172044,53695,78578,5,,820 Rue du Cheval-Blanc,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjE5ZDViMjg2NWYzM2JmNTMzZWM0ZGNkOTY3ODZmMTkwMGZiOWQxMDkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=82ec17f4a571b0f63e1c3f6f25f04774150e13f16d14a8dfa65f324a40221af2
73300,Les Terrasses du Corbier#fe3eee212a07,fe3eee212a07,C,Villarembert,Les Terrasses du Corbier,True,2006T1,CELAVi pierre,6.2683922,45.2401269,87767.99,87767.99,1,Tourism,Front de neige,T2 Bis|T2 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjNhZjdkNDYzYTM4OTIyZjMzYWQ5ZTMyY2IxYzU5ZTQwNTkxY2NiOGYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=b0cdaf490784a40ebd2f2749b8d15edcd505761d395abfc3a3f4112f52f9487f
73100,Villa Thermale#fc2e3279af8e,fc2e3279af8e,A,Aix-les-Bains,Villa Thermale,False,2025T4,Edifim,5.9159206,45.6897702,692000,1570000,8,,2 rue Davat,T3|T4|T5,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjZkM2FhMGVhODMyNThlNjI5NTkxZDg0YzRiZWQ5MWQ1NDExMzFlNmUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=c21d66265164d018799746db47b6762c17f0fc8a0e1373b44c54c50c9e0644f7
73200,RESIDENCE 1992 - ALBERTVILLE#9e78958d28e9,9e78958d28e9,B1,Albertville,RÉSIDENCE 1992 - ALBERTVILLE,False,2026T2,Concilio Immobilier,6.3913667,45.6755015,105000,419000,18,,Rue Pargoud,T0|T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImJjNzM0ZjFiYjgzMDlhOTBjMTdlZmVkZTYxZjI3YjI4NmM1Y2VhMGUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=978b7fc249c4735ef1df5930ea4192821d1bd5eac6477eb86fd1ba8fcc980e27
73350,NUE-PRO' EVASION by FIDEXI - L'Etoile de la Vanoise#8dd5a031867b,8dd5a031867b,C,Champagny-en-Vanoise,NUE-PRO' EVASION by FIDEXI - L'Etoile de la Vanoise,False,2025T2,Fidexi,6.6960302,45.4560953,260640,347760,2,,Rue des Hauts du Crey,T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImFkNGI1ZDdhMjBkM2I0OTkxZWY1OGMyODkwZGI4Y2Y2YWFmZWNlZDkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=5302df0c7bd7f5105fe175354ce44061427def68293163481e2c745d3644153d
