zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesCount,residenceType,address,typologies,image
56550,Les Timoniers - Batiment B#0ade2eea6d6b,0ade2eea6d6b,B1,Belz,Les Timoniers - Bâtiment B,False,2025T1,Kermarrec Promotion,-3.1790543,47.6652575,241000,2,,Clos Pasco,T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijc4YjliZDE3MTZmOGQ1OWEyNzQyNGY4ZTYyM2I0NjFkYWUwMzkzZjAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=22b3f5bf70c19e59fd2de9b8f6a0e918aebac6b52155c5e72e898250910cf347
56000,Confort Vannes#18df902cb160,18df902cb160,B1,Vannes,Confort Vannes,True,2012T4,Consultim,-2.748084,47.643311,87194.94,1,Business,Rue Alfred Kastler,Studio|T1|T1 Bis,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjRjODRhNzhiNjQ4Yjc5NTFhNzlhZmU3MzIwNGM2NjI4ZjJmYjg0NDgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=3f92ffe7924f096844bb6a600ef0e32bcf7f2a3466eb532ad677dac64b171ecb
56360,Les Belliloises#f41c5da6e2f6,f41c5da6e2f6,B1,Le Palais,Les Belliloises,False,2025T2,Lelièvre Immobilier,-3.1591318,47.3372746,519000,6,,Penecam,Maison T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImE1ZWFkYjA1Zjg3MGI4ZTRiNGI3NTY4OTljNDA4ZmNlOGE2YTBiNzVfY29udmVydGVkXzAwMS5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=b08428320e90b0ebe30a3806770c40a8289a9d4b05b91f95eca8e7a477713944
56520,CALYPSO 1#d24f71197f87,d24f71197f87,B1,Guidel,CALYPSO 1,False,2026T1,Nexity,-3.511983,47.780178,258090,18,,RUE LES COTTAGES DE SCUBI,T2|T3|T4,
56000,ALPHA#b638558ec66e,b638558ec66e,B1,Vannes,ALPHA,False,2026T3,Fidexi,-2.745162,47.6424824,95363.33,4,Student,Rue Jean Perrin,Studio,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjdlZDc2NWI1NjMwNjA2MDVkZGJhZGU0NGEwOTY5Mjc0MjNhNzNkODIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=5c17b6380610bbb292e7022f3c28634d53bb99d52628c806ad0eb4725cb74100
56100,Switch#855fcb837d45,855fcb837d45,B1,Lorient,Switch,False,2026T3,Promeo,-3.3686416,47.7560328,101300,4,,12 rue de kerguelen,T1|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjZlNGNlOGVlMmM2MWZkODhmY2JmNTc3OTYzMmYyOWQ5MmNlNGU3NWEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=a20d973084ef1af4c21d0256f9f4e07ef4f7a68acfa197a55e999f7d0bbb8455
56400,RIVIERA - APPARTEMENT 13#634051405c1d,634051405c1d,B1,Pluneret,RIVIERA - APPARTEMENT 13,False,2025T4,Nexity,-2.9649779,47.6664674,212430,3,,RUE DE KERSALÉ,T1|T2|T3|T4,
56000,NYMPHEA - Appartement 1#1dc839e513a8,1dc839e513a8,B1,Vannes,NYMPHEA - Appartement 1,False,2025T2,Nexity,-2.7661411,47.6698096,294221.91,6,,21 RUE HENRI MATISSE,T3|T4,
56400,RIVIERA - APPARTEMENT 12#bd6536f74d00,bd6536f74d00,B1,Pluneret,RIVIERA - APPARTEMENT 12,False,2025T4,Nexity,-2.9649779,47.6664674,310000,1,,RUE DE KERSALÉ,T2|T3,
56360,LES BELLILOISES#c449ed861a28,c449ed861a28,B1,Le Palais,LES BELLILOISES,False,2025T2,Catella,-3.1591318,47.3372746,432500,6,,PENECAM,T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjZhOTIyMDc1MGI5MDkxOGEyYWM2ZmYxNjRjYmZjYTZlM2Y0MTYyYWIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=2f5adadc6f10319eaffafe176b68fcccb8a10bf247980c484e367d941de4b077
