zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesCount,residenceType,address,typologies,image
68100,Le Parc des Salines II#0fbff49bf667,0fbff49bf667,B1,Mulhouse,Le Parc des Salines II,True,2000T1,Consultim,7.3475753,47.7472396,110504.36,2,EHPAD,3 rue du Port,Chambre simple,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImI3ODFlOTM0NjRkZjVjMWQxYjQ0MzIzMzZiOGZkOTJmNjE2MmZmOTQiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=f99d8f7432257bccf0544fac31a02361572caa97777991183cbb6f90967db91a
68000,Villa Beausoleil Colmar#b36523757824,b36523757824,B1,Colmar,Villa Beausoleil Colmar,False,2026T1,Consultim,7.366406,48.078582,143797,28,Senior,2A rue du Grillenbreit,T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImNkZjI4MzRjYjdkZDY4MjNlNmYzYTkzNDVmZGUyNzNiODE5NjAyMTEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=371c74fe007a4951e571428f338837f84ec2ab2f0edbc1324a37a1997c2c1ab8
68100,Appart'City Confort Mulhouse#22d8c97d993d,22d8c97d993d,B1,Mulhouse,Appart'City Confort Mulhouse,True,2014T2,Consultim,7.3490575,47.7568761,94244.35,1,Business,86 Avenue Robert Schuman,Studio|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjQwNmQzNjE1ODc0MGMyNjlmZjRhODgyODRiMmIyNTgwMGJlMWQ2MGMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=5f77b5d4d3779a1eebb7b0b7380966c2b072e6c5ef573c37183a44b88fe450ed
68100,Les Bateliers#ce2d2fcc835e,ce2d2fcc835e,B1,Mulhouse,Les Bateliers,False,2025T4,Marignan,7.3579975,47.7564626,178500,5,,36 rue des Bateliers,T1|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjU2ZWFhMWEyNzNmZjgzYzg4NGM5Y2YwOTVhMDc2OTVlOTc0YmMzMTgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=48182ffd240d91036c15cd329700d6c7140675cdceb734715c7f088e0f166564
68800,LA PROMENADE 8#6add6a299bdc,6add6a299bdc,B2,Thann,LA PROMENADE 8,True,2024T3,Nexity,7.1134461,47.7976605,259000,1,,AV DE TONNEINS,T2|T3|T4,
68000,Ancien B.D.M.#adee84e0554d,adee84e0554d,B1,Colmar,Ancien B.D.M.,False,2027T4,François 1er,7.5277542,48.020126,281131,19,,Colmar,T1|T1 Bis|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjM2MzRlZjA2ZDU0MjRmYmU2OWNjOTcwYTZkNTc3YTM2OTM3NmQ5ZWYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=feb098d23563305885885dc7b6c0bcbf83cf971c905a4c856bcfe4020863edff
68100,Appart City - Mulhouse - Appart Hotel#9ad1bedaf83c,9ad1bedaf83c,B1,Mulhouse,Appart City - Mulhouse - Appart Hôtel,False,,Attentif LMNP,7.3490575,47.7568761,87731,1,Business,86 Avenue Robert Schuman,T1,
68300,L'ARCHIPEL 3F -  BAT D1#70225f902718,70225f902718,B1,Saint-Louis,L'ARCHIPEL 3F -  BAT D1,False,2027T1,iSelection,7.5665912,47.5831479,133000,10,,34/44 avenue de Bâle,T2,
68200,Florissens#9a3cc5e01fdd,9a3cc5e01fdd,B1,Mulhouse,Florissens,False,2027T1,Cogedim,7.323119,47.7549638,127599.99,27,,44 RUE LAVOISIER,Moy. surface|T1|T2|T3|T4,
68170,Les Cadrils#4e4dc93593e3,4e4dc93593e3,B2,Rixheim,Les Cadrils,False,2026T1,Groupe Duval,7.4017261,47.752184,187000,19,,38 rue de Mulhouse,T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjQ2ZmNiODQ3N2U4YTE2N2ExYjE2NTNjYzQ1YTYwYTIzZDk0MmY2ODEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=021eae5c5b43cc7aec904808b5e7354ce2b5e5e37c0b70495b4b55c9e6b45218
