zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
63000,LES SENIORIALES 1#f046de383628,f046de383628,B1,Clermont-Ferrand,LES SENIORIALES 1,False,2024T4,Edouard Denis,3.0869592,45.7843981,139900,194500,9,,22 RUE MARÉCHAL LECLERC,T1|T2|T3,
63900,Le Carre des Arts#8b7ac9b5a933,8b7ac9b5a933,A,Caluire-et-Cuire,Le Carré des Arts,True,2024T1,Neo Invest,4.8409333,45.7818973,155415,192600,3,,21 Montée des Lilas,T1|T1 Bis|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjI0ZWVkMzYwN2MzNTBlNGIxY2Y0ZmNkYTg4N2JiYzc4ZGMxNTVkZmUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=14be270bc3c3df3bcf4ff08be82c2b473ab66f92c2d57adbe4717a1e67b9bda4
63000,TWENTY CAMPUS REPUBLIQUE#c2e75b909c11,c2e75b909c11,B1,Clermont-Ferrand,TWENTY CAMPUS REPUBLIQUE,False,,iSelection,3.1099779,45.7885115,87640,171890,11,Student,122 Avenue de la République,T1|T2,
63000,HOTEL DIEU#01f9b2a9d129,01f9b2a9d129,B1,Clermont-Ferrand,HOTEL DIEU,False,,Histoire & Patrimoine,3.0830624,45.7729447,304900,663600,20,,13 BOULEVARD CHARLES DE GAULLE,T1|T1 Bis|T2|T2 Duplex|T3|T3 Duplex|T3 Triplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImM1ZWQzOTJmMmNlYzJmNTg2NTQ2NzdjNzBkZmI0NGIyZmZkZTFkMTYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=1d0582a7edb23f5e5572b33dc35ef09d4a046d4beb2fd18dcd1d34e02d734860
63000,LES FABRIKS DE MAI - TRANCHE 2#acf0e669810e,acf0e669810e,B1,Clermont-Ferrand,LES FABRIKS DE MAI - TRANCHE 2,False,2024T4,Vinci Immobilier,3.1008526,45.7877206,284000,325000,6,,45 Rue du Clos Four,T1|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImM4ZGFmNWUzMWY0ZTIxZDIyYjc5Nzg1ZGY4NGI5M2FhOGEzZmM4N2IiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=90bc0229d7c0b01ff354aa1f41c6b28ac0f8e174923440117f088909a7e230cc
63000,Carre Amboise#609e2e81e5f7,609e2e81e5f7,B1,Clermont-Ferrand,Carre Amboise,True,2018T4,Revenu Pierre,3.092137,45.7739048,84500,84500,1,Student,"25,rue Paul Collomp ",T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjM4ZGQ0OGRkM2NhMDM0Nzg3ZTkwMWQ3ZTA1YWY3OWY3ZmYxNGM2OTciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=288fb14e6ee1f042f17e502ae0384d433bd217c4dd41bf8f67216a1a7dc6675b
63000,LES ALLEES BLATIN - TRANCHE 2#a515879682cb,a515879682cb,B1,Clermont-Ferrand,LES ALLÉES BLATIN - TRANCHE 2,False,2024T4,Vinci Immobilier,3.0769085,45.7777375,445000,624000,3,,10 Avenue Franklin Roosevelt,T1|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjgzZmY0YzVlZDVhYTNmNGIxNjNjMmM0YzkwM2Q4MzgyOTMxMzFmYjIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=eef98e561169c9302775a3e071b728a65307ee0a3983a0d1efcfe5c371fc1161
63000,Quartz#1bf772429351,1bf772429351,B1,Clermont-Ferrand,Quartz,False,,iSelection,3.109969,45.7809542,144000,194000,9,,79 avenue Edouard Michelin,T1|T2,
63100,CHARME EN VILLE 2#feff70892f0f,feff70892f0f,B1,Clermont-Ferrand,CHARME EN VILLE 2,False,2025T2,Nexity,3.1016885,45.7829458,186660,191000,2,,32 RUE DE LA LIÈVE,T2|T3|T4,
63000,ORIGINE FRANC ROSIER#fc9e300a99bb,fc9e300a99bb,B1,Clermont-Ferrand,ORIGINE FRANC ROSIER,False,,iSelection,3.1099656,45.789113,119000,122000,2,,124D avenue de la République,T2,
63000,PANORAMA 3#feb90b785613,feb90b785613,B1,Clermont-Ferrand,PANORAMA 3,False,2026T1,Nexity,3.0986352,45.7728395,188000,320000,9,,65 RUE DE L'ORADOU,T1|T2|T3|T4,
63000,HOTEL DIEU#a62dd2edc26b,a62dd2edc26b,B1,Clermont-Ferrand,HOTEL DIEU,False,,iSelection,3.0830624,45.7729447,441900,663600,14,,13 BOULEVARD CHARLES DE GAULLE,T1|T1 pice|T2|T2 Duplex|T2 pices|T2 pices Duplex|T3|T3 Duplex|T3 pices Duplex,
63000,Stud'City Jules Verne#d51bf6e2c94f,d51bf6e2c94f,B1,Clermont-Ferrand,Stud'City Jules Verne,True,2003T4,Revenu Pierre,3.1060437,45.7660356,59700,59700,1,Student,34 Boulevard Paul Pochet Lagaye ,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjQyZjE3ZjJhNzI0N2JlODU3OTY0OTcxNjkwZjg0MDQyYjc0MzRmNjkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=afbe279eb4ba731e4070ce2e360e2b2d3ee15eadb18bbc165e2bd1da6e69315c
63100,Les Senioriales en ville de Clermont-Ferrand#4b9143da5ad7,4b9143da5ad7,B1,Clermont-Ferrand,Les Senioriales en ville de Clermont-Ferrand,False,2024T4,Les Senioriales - Pierre & Sens,3.0894957,45.7859615,156900,213400,8,,Avenue Thévenot Thibaut ,T1|T2,
63000,L'INSPIRATION#d5737bfff095,d5737bfff095,B1,Clermont-Ferrand,L'INSPIRATION,False,2026T2,GC IMMO,3.0760828,45.7838137,139900,349000,24,,105 Boulevard Lavoisier,Bureau PMR|T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjA2ZjI0ZDIyZWRiNTYwOTM0MDRhNWYwZjc2ZGIzMDA0IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjozODAsImhlaWdodCI6MzAwLCJmaXQiOiJjb3ZlciJ9fX0=?signature=c42cf1b1f2625b58106736e705475534e8f57723bcfb7336cb5ecc7d77a0f5de
63000,Global Exploitation - Clermont Ferrand - Le Belvedere#ed07f1699700,ed07f1699700,B1,Clermont-Ferrand,Global Exploitation - Clermont Ferrand - Le Belvédère,False,,Attentif LMNP,3.1043364,45.7810499,55381,55381,1,Student,68 Avenue de l'Union Soviétique,T1,
63000,LES ALLEES BLATIN - TRANCHE 1#9fbdfec30de6,9fbdfec30de6,B1,Clermont-Ferrand,LES ALLÉES BLATIN - TRANCHE 1,True,2023T2,Vinci Immobilier,3.0769085,45.7777375,470000,470000,1,,10 avenue Franklin Roosevelt,T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjY1YTNmNzY5MTgxZDM1YjBhNmIyODY4OTE4ODBjYmU2N2JiZmQ0YjUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=70e07b213cf807350d889fec73fa4212b43b6cf1f7b8a45fd7554a06279ef997
63000,Paul Valery#5aed6be18b18,5aed6be18b18,B1,Clermont-Ferrand,Paul Valéry,True,2019T1,CELAVi pierre,3.1253165,45.7735451,135133.18,135133.18,1,EHPAD,Rue Françoise-Hélène Jourda,Chambre,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjBkNTM1MGViM2NjNTY5N2U4ZmEzN2FjNGZkYjgwNTM2YTVhMmY5Y2MiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=07f607fa22d6917b2831aa6c73b4dbdf327022f66ca8c2ea46fc7def27c4c353
63000,LE MANHATTAN SIXTINE#7e9f64d661ff,7e9f64d661ff,B1,Clermont-Ferrand,LE MANHATTAN SIXTINE,False,2024T3,GC IMMO,3.0734823,45.7822565,230214.004,277283.004,4,,"141 Bd Lavoisier, 63000 Clermont-Ferrand, France",T0|T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImMwZTg1N2QzMGI0YTZjMmI2MWIyNjY3ZTVmMzg2YmRjIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjozODAsImhlaWdodCI6MzAwLCJmaXQiOiJjb3ZlciJ9fX0=?signature=8be988aa4a3ac026293449fa2a9d9bcc4b0abeb2771fe427f3a2dd6fc253bdd8
63000,Grand Angle#52dd32ca7cfa,52dd32ca7cfa,B1,Clermont-Ferrand,Grand Angle,False,2025T1,Kaufman & Broad,3.0644724,45.7848993,132000,136000,2,,134 avenue de Bordeaux,T1|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImY3ZDUwYjEyNjA2N2UxYTBlYzA3NzdlMzk4YmRiNWMyNjhjOTQwNWMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=f8041ec71b469f90c7bde9ddc5290e68fabd811e1456feaa1bac3a78aece8afa
