zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesCount,residenceType,address,typologies,image
41000,UXCO Le Vinci#a7b5550aa2dd,a7b5550aa2dd,B2,Blois,UXCO Le Vinci,True,2009T1,CELAVi pierre,1.3418808,47.5928438,46706.69,1,Student,1 Bd Vauban,Studio,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImQyY2VmMGVjNGRkMWZiZTkyNWY1YTY5MjkzNzE3NzNlM2VlNWE5YTkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=af8db36d960beb47a422a54d5ceaa33559e8d2cc5cce16d9aa80587ef15a4cf4
41120,Claude de France#8f3c60fa6dd7,8f3c60fa6dd7,B2,Chailles,Claude de France,True,2007T1,CELAVi pierre,1.5834672,50.4046473,132096,1,EHPAD,2 Clos des Hirondelles,Chambre|Studio|T1 Bis|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImY2YjI4OWNmMzAxYzIwMWQ2NjAwNjkxMDE0ZjI5NDQ5OWRlMDhkOGUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=b22a737a57bc1952290e9fa6775fbeb5789814ce7d0de67cc1eb22bd67e57739
41250,Les Senioriales village de Bracieux#73e4717bfad0,73e4717bfad0,C,Bracieux,Les Senioriales village de Bracieux,True,2024T2,Les Senioriales - Pierre & Sens,1.5365537,47.5559641,160000,2,,115 Rue des Terres de Goland,T3,
41200,La Promenade des Thermes#dceb1ebefc6e,dceb1ebefc6e,B2,Saint-Denis-sur-Loire,La Promenade des Thermes,False,2026T2,SAS Medicis,1.3850507,47.6239341,149766.67,23,,Rue du 8 mai 1945,Local|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjFmMTg1ZjQzM2YwMmY2Yzc4YTFhYjg4ZTgxNGRiNTMyNjcyMTc5NTMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=ef1262c353f53ba6d2c483126a95a7a7418c3973df1456fa0f5df800267f9b86
41000,HOTEL DIEU#9edef060f1f2,9edef060f1f2,B2,Blois,HOTEL DIEU,False,2027T4,Histoire & Patrimoine,1.3314048,47.5835164,256500,38,,17 QUAI DE L'ABBE GREGOIRE,T1|T1 Bis|T2|T2 Duplex|T2/T3|T3|T3 Duplex|T3/T4 Duplex|T4|T4 Duplex|T4/T5 Duplex|T5 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjhkZTJiZmEzNDQ3NGVjNTE3Yjk1YThhYTM5ZmM0ZjE3YzlkN2FiZWUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=9925f81291fb5bf2232aee05896621727303f8fe898075acc4d5b15064ed943a
41600,Center Parcs Les Hauts de Bruyeres#7e8ee366a121,7e8ee366a121,C,Chaumont-sur-Tharonne,Center Parcs Les Hauts de Bruyères,True,1996T4,Pierre & Sens,1.910754,47.6112852,171590,11,Tourism,Rue Lamotte,T3|T4|T5,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijk2MTRlZGQwMzVmODQwMTQxY2I2M2U1MmU5ZDBhMzE2NmMwNGI3MjIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=523181beefc50e2f228964edfd7d6195c450155951d16c4e461ba496c22a9f45
41200,Le Jardin des Trois Rois ROMORANTIN LANTHENAY - BLOIS - 41#51e52bed5fe4,51e52bed5fe4,C,Romorantin-Lanthenay,Le Jardin des Trois Rois ROMORANTIN LANTHENAY - BLOIS - 41,True,,Pierre Loyers Conseil,1.748604,47.3572276,202482.76,1,EHPAD,"13, avenue François Mitterrand",T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImQ4OWZlNjA1ZjM5NDBkMjAwOTk4NTY1ZDI1YzU5YTk4ZmI4YzlmODkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=b6fbcfc89a9ac3163fef9f38952d2b409e2591bdc8145aa472f8d60127e7c737
41000,APPARTEMENT - 40m2 - BLOIS#654f18d82c8e,654f18d82c8e,B2,Blois,APPARTEMENT - 40m² - BLOIS,False,,Smart Investissement,1.3316888,47.5851105,151438.8,1,,31 Rue Saint-Lubin,T1 Chambre,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImY3OTdmYjgwMTMxZGViMDk3MDMzOTI4NGU3ZTZiNDM0NzhjNGQyNTciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=868f8a2fc75cffef1159e447ce191ffd58e0ddf67706e944027a2a527a1b06bd
41600,P&V CP - Chaumont-sur-Tharonne - Les Hauts de Bruyere#87eb7f873e3f,87eb7f873e3f,C,Chaumont-sur-Tharonne,P&V CP - Chaumont-sur-Tharonne - Les Hauts de Bruyère,False,,Attentif LMNP,1.910754,47.6112852,231520,2,Tourism,Rue Lamotte Beuvron,T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImZlM2Q1OGJjOTM1MWNmNGRmYjBhYzNhODU5MTg5NTYwZDhhOTgzMjkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=c23416428a1c17c3606be392f10e3939948a70d824f46956d751cd00ff870db6
