zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
26100,LA COUR ROMANE#741361de5a2b,741361de5a2b,B2,Romans-sur-Isère,LA COUR ROMANE,False,2026T4,Valority Partners,5.0531202,45.0429004,164734,270434,10,,2 rue du Puy / 56 rue Saint Nicolas,T1|T2|T2 Duplex|T3,
26000,Appart City Classic Valence#47b587fcc489,47b587fcc489,B1,Valence,Appart City Classic Valence,True,2011T1,CELAVi pierre,4.9087118,44.92272,132496.38,132496.38,1,Business,6 Rue Célestin Poncet,Studio|T1 Bis|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImRkOGEzNzQ5MjFiYjk5NWYyMDFhZTM3NzgzOGQ1YjNhMmY2NTAxYjciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=9b5f64567320db8cf38e11c149957d3b7aec95f0955962efac284ebd0dd73143
26000,SOLARIS 1#0a12ce53bd98,0a12ce53bd98,B1,Valence,SOLARIS 1,False,2025T2,Edouard Denis,4.9131171,44.9133827,275900,310000,3,,350 RUE FAVENTINES,T1|T2|T3|T4,
26500,Les Jardins de l'Allet#196dad85149a,196dad85149a,B1,Bourg-lès-Valence,Les Jardins de l'Allet,True,2009T3,Consultim,4.9044358,44.9571427,178407.05,178407.05,1,EHPAD,20 Avenue Pierre Benoît,Chambre|Chambre simple,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImRiMzhiMjMzM2RiNzEwNmE3MDM2YzIxYmY4MjliZmQ4ZTVjZmQ5NDkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=3b573ffb65ee1141cea6308614a4b8da1297439b590bf6b5e21d220a1f3813cb
26100,Les Rives de l'Isere#bfe19ec61a2b,bfe19ec61a2b,B2,Romans-sur-Isère,Les Rives de l'Isère,False,2025T2,Consultim,5.0444244,45.0464957,121814,247017,39,Senior,11 avenue Duchesne,Studio|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjIwMGI0ZjNiMmVhM2ZjNWE3NTgwNWI1ODBiMTQ3YzBmOTcwNGI0YjYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=c11c30044ff5948be414ae33125191cdab9e650bf1d8ac177a3b01483f0cf88e
26120,Colisee - Montelier - La Melusine#4fbbf47ad365,4fbbf47ad365,B2,Montélier,Colisée - Montelier - La Mélusine,False,,Attentif LMNP,5.0239032,44.9284691,146454,146454,1,EHPAD,2 Rue des Magnolias,T1,
26200,La Clairiere MONTELIMAR - 26#b8a5a983dd4d,b8a5a983dd4d,B2,Montélimar,La Clairière MONTÉLIMAR - 26,True,,Pierre Loyers Conseil,4.7628456,44.551965,141764.71,141764.71,1,EHPAD,"14bis, impasse Jean de Saint-Prix",T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjhhYzBhMDU0N2IwZjRkNGRlZGUxNmE0YzY0NGJjZmM5ZTM4OGI1ZDciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=2ff95af0d627c50a615f5a9a0f0311ae54d6bbea61e0d1bc75666efacd5c323b
26000,Studelites - Valence - Cezanne#acab1e4a8793,acab1e4a8793,B1,Valence,Studelites - Valence - Cezanne,False,,Attentif LMNP,4.8985294,44.9318256,71807,71807,1,Student,14 rue Jean Louis Barrault,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijk5ZTMzM2UwMzQ0YWE5ZGY5OTZlYTIwMDk0YTI2MDliMGM3MzQ1NmUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=5ca437ebd2cb3c910678ec60789494647b660ab871ef72c5f440f08363441b1e
26000,Les Jardins du Cedre#9146c60d9456,9146c60d9456,B1,Valence,Les Jardins du Cèdre,False,2026T4,Marignan,4.9046329,44.934451,158100,418805.69,50,,35 Avenue de l'Yser,Commerce|T2|T3|T4|T5 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjhiY2Y3NWEzNzE2ODA0OWYxNjZiY2YwNzNlZmFiODc4MzJjZDkyYmMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=6fd5885a4de6332baaeda04ff70b45c64aadf7afd99b134e52e61f6db8ae8810
26000,L'ABRICOTINE#716c34b8fa81,716c34b8fa81,B1,Valence,L'ABRICOTINE,False,2025T1,Domitys Invest,4.9342288,44.925104,198033,260544,11,Senior,Chemin Gaston Reynaud,T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjkyOWI5MzRjY2U3NzQ4Yjc5NGE1MTlhMzdmM2Y5YWVmNmRlNGQ2YjAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=b78fd087366928b49672b26c1f62c0d4457215063061ee87720a8ebb2d728c1b
