zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
81100,LES HERBORISTES#1b627e5234d8,1b627e5234d8,B2,Castres,LES HERBORISTES,False,2026T1,Domitys Invest,2.237688,43.6031623,241167,269000,6,Senior,6 - 10 rue Amiral Galiber,T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImNmZGI4NTYzYTg5ZjUzYjk5ZjZiMGZlMmYyMTIyZGFmNDgzZWJiMDkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=92419663a890481b4209b97349e0c527445739968fe8b14892f6f96d81229f9e
81100,LES HERBORISTES 7#565d3ab3bb7d,565d3ab3bb7d,B2,Castres,LES HERBORISTES 7,False,2026T1,Nexity,2.2367618,43.6023539,175999.99,269999.99,11,,RUE AMIRAL GALIBER,T1|T2|T3,
