zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
24750,L'EMPREINTE - Res. etudiants 1#cd9748bd1d85,cd9748bd1d85,B2,Champcevinel,L'EMPREINTE - Rés. étudiants 1,False,2026T2,Edouard Denis,0.7211149,45.184029,95000,99100,27,,RUE DOYEN JOSEPH LAJUGIE,T1,
24700,Les Vignes#edfc54aa72a8,edfc54aa72a8,C,Moulin-Neuf,Les Vignes,True,2015T4,Consultim,0.0644109,45.013006,95856.68,96825.7,2,EHPAD,11 RUE ALEXANDRE DUMAS,Chambre simple,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImRlNTFjZjY2OWUzNGE0MTRmMmRhMTgxOTBmNjZhY2VmMmZjNTYyOTIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=945dbc958a319e1667863717e3e27165e778d9caa72424a83ded662cbe28d6a3
24300,Le Domaine Des Nouailles#a602b64d1ba0,a602b64d1ba0,C,Nontron,Le Domaine Des Nouailles,True,2004T4,Consultim,0.680405,45.535653,27328.85,27353.33,2,Tourism,RD 87 Lieu dit des Nouailles,T1 + cabine|T2 + cabine|T2 Duplex + cabine,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijc0OWUzNTAzZDE0ZmZlZmFlOWI0YzRmZWU3ODYwOWE4NjUwMGJjNWIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=3de24d0812c7d883266f1bb460c14dc6530995dd35c2385ccb19a280c61feb07
24260,Le Hameau de la Vezere#e842a51804f7,e842a51804f7,C,Le Bugue,Le Hameau de la Vezere,True,2007T4,Revenu Pierre,0.9328893,44.9018217,45000,45000,1,Tourism,Lieu-dit Les Fromentals 512 rue du Gouffre ,T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjJmZWRiNzgzNzc1YWNlMDg1ZTAwNWU1YmUyNDdhMjA5ZWY2NjhmODIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=38be31ef9f78b9d67759453d0968fc07b8f386efbe95b01ab2098763d93dd6cb
24200,Les Coteaux de Sarlat#3cfb4181bf8f,3cfb4181bf8f,C,Sarlat-la-Canéda,Les Coteaux de Sarlat,True,2011T4,Consultim,1.2301086,44.8963017,134838.28,137308.97,2,Tourism,La Vigne du Foussat,Maison T3 Duplex|T2|T3 Duplex|T4 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjA2MThkYjcyNDBhMDhiMTYwY2UwOGI2MTYwNzdhNzFjNDBhYzNiYTgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=6eaaa88f94276d6e975707ff2246b2b9d578643c301188d8ba5949be878f69b3
24100,IMMEUBLE - 124m2 - BERGERAC#c604679033a3,c604679033a3,B2,Bergerac,IMMEUBLE - 124m² - BERGERAC,False,,Smart Investissement,0.4818831,44.852877,365069,365069,1,,Place de Bergerac,Immeuble,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjdiNzBhMzQ1OGM3ZjJhMDFmNjY5M2MzMzEwZDc1ODRmY2U0ODRhZjAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=902bc057d37f483bcf1fe874f862a5c72e1e88b9ac4728a189f98d734cb0c7d3
24120,Les Cottages du Lac#5bf5cd17f4d8,5bf5cd17f4d8,C,Coly-Saint-Amand,Les Cottages du Lac,True,2000T1,CELAVi pierre,1.27729,45.068161,60743.68,82391.04,2,Tourism,La Grande Prade,T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjczODk3NzhmYmI4NjY3ODkxYzBiMjcyZGU4MjI3YWU4YjcyOTU5Y2YiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=d873c5d02e64971ad48ed74ace636bfdd535a71ea18229bb24e010d890271e36
24260,Le Hameau de la Vezere#ee7fdb35c907,ee7fdb35c907,C,Le Bugue,Le Hameau de la Vézère,True,2008T2,Consultim,0.928396,44.918456,39558.62,46068.41,2,Tourism,Lieu-dit les Fromentals,Maison T2|Maison T2 Duplex|T2 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImIwYmNkNTRlYWIwNTQ3OWIyZGU5ZDBlNzMxNmM4MzcyYzY0MzM4OWYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=96478c79f0c776b2f6129102f0e7eecaf06d2409e32330944bd84925fb1bcea3
24290,Odalys - Montignac - Le Hameau du Moulin#1c936fc0b4f9,1c936fc0b4f9,C,Montignac,Odalys - Montignac - Le Hameau du Moulin,False,,Attentif LMNP,1.1620632,45.0582711,68505,68505,1,,Chemin de Gouny,T2,
24100,Le Clos des Vignes#9481a8e8bc66,9481a8e8bc66,B2,Bergerac,Le Clos des Vignes,True,2007T3,CELAVi pierre,0.496739,44.867513,47308.8,47308.8,1,Tourism,18 Rue du Merlandou,T2|T3 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImUxZTY1ODcwMWYwM2VjZjE5NGE1YzkwMDJkMzdkNDgwZjMwYTExMzAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=09f2e547f1e9d3b63ac5eded3758221a4aa3ba28760e52f6a8345225345d833e
24300,Le Domaine des Nouailles#ac7d72302df1,ac7d72302df1,C,Nontron,Le Domaine des Nouailles,True,2005T1,CELAVi pierre,0.680897,45.536301,28693.5,36950.39,2,Tourism,Lieu-dit Les Nouailles,T3|T3 Duplex|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImFlYmM5ODM1NTM4NzZjN2M2OGQxMDk4NmNjYzUxNzU2ZDk0NjBiYjAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=d12a42a71be4c1a3c813491efabc180068f652b1000cc6948022dbfacd5c3a00
24000,APPARTEMENT - 35m2 - PERIGUEUX#82555fb4aedf,82555fb4aedf,B2,Périgueux,APPARTEMENT - 35m² - PÉRIGUEUX,False,,Smart Investissement,0.7107336,45.1869343,112960,112960,1,,23 Rue Louis Blanc,T1 Chambre,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImY3OTdmYjgwMTMxZGViMDk3MDMzOTI4NGU3ZTZiNDM0NzhjNGQyNTciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=868f8a2fc75cffef1159e447ce191ffd58e0ddf67706e944027a2a527a1b06bd
24130,Cavalerie#f7f551a082b1,f7f551a082b1,B2,Prigonrieux,Cavalerie,True,2007T4,Revenu Pierre,0.4034087,44.8560591,129200,129200,1,EHPAD,37 Rue Salvador Allende ,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijc1MzQxMTI3NDI1NDk4YjY4ZjJiYTkyYTM4ZjdhY2I2MjczOThjNzciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=747c49a3f952cd428293020508d95c1a5a1d796232a699d447e42177596667cc
24100,IMMEUBLE - 124m2 - BERGERAC#2856dafc4b2e,2856dafc4b2e,B2,Bergerac,IMMEUBLE - 124m² - BERGERAC,False,,Smart Investissement,0.483392,44.853806,313444.6,313444.6,1,,Place de Bergerac,Immeuble,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjdiNzBhMzQ1OGM3ZjJhMDFmNjY5M2MzMzEwZDc1ODRmY2U0ODRhZjAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=902bc057d37f483bcf1fe874f862a5c72e1e88b9ac4728a189f98d734cb0c7d3
24000,APPARTEMENT - 45m2 - PERIGUEUX#190f4d12a8c2,190f4d12a8c2,B2,Périgueux,APPARTEMENT - 45m² - PÉRIGUEUX,False,,Smart Investissement,0.7029201,45.1956522,136087.5,136087.5,1,,88 Rue Pierre Sémard,T2 Chambre,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjRkZjRhNTk1OWNhZmEwMmU1OTM0MmZmYzVmMTNjNWZjNTA5MmE5NDgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=29758408cc9b08a4cefca7b569bea053fde8644ffe39e0fbdf244cfabe1058fa
24000,CARRE SAINT GEORGES#5e5ee8c3be9c,5e5ee8c3be9c,B2,Périgueux,CARRE SAINT GEORGES,False,2025T4,Cogedim,0.7381749,45.1835056,125000,210000,4,,135 BOULEVARD DU PETIT CHANGE,T1|T2|T3|T4,
24000,APPARTEMENT - 30m2 - PERIGUEUX#3a207d60eb02,3a207d60eb02,B2,Périgueux,APPARTEMENT - 30m² - PÉRIGUEUX,False,,Smart Investissement,0.7029201,45.1956522,113400,113400,1,,88 Rue Pierre Sémard,T1 Chambre,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjRkZjRhNTk1OWNhZmEwMmU1OTM0MmZmYzVmMTNjNWZjNTA5MmE5NDgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=29758408cc9b08a4cefca7b569bea053fde8644ffe39e0fbdf244cfabe1058fa
24000,IMMEUBLE - 116m2 - PERIGUEUX#b61eb956f262,b61eb956f262,B2,Périgueux,IMMEUBLE - 116m² - PÉRIGUEUX,False,,Smart Investissement,0.714816,45.1844968,388500.9,388500.9,1,,37 Rue Wilson,Immeuble,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjBmZDQwZWU2YWFkMTJhN2Q4ODE1YjdhNjRmMjA3ODY2OTFjNjAzMjAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=98b079b5d5773c70b76e3c10425c1e1ac3e90f97de8cfc7ea02857eba32b8c79
24530,Les Chaminades#9899b2bb39af,9899b2bb39af,C,Champagnac-de-Belair,Les Chaminades,True,2013T4,Consultim,0.701364,45.3885801,126915.88,126915.88,1,EHPAD,rue des Chaminades,Chambre|Chambre simple,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjI3ZTg2NTkxYWUzODdhYWFlOTIxNWNkZWI0ZDgzZjFlZWU3NjQxMjAiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=a63b5edacf50e95b7a27ba54ca276b8dd9e5064cfda84c2a543ac7cc102eb073
