price,id,category,surface,title,zip_code,rent
412500,2318305,Tabac - Presse - Loto,0,Vente tabac loterie loto PMU zone commerçante 77,,
220000,2406539,Tabac - Presse - Loto,0,Vente FDC tabac loterie loto en zc Seine et Marne,,
400000,2406375,Tabac - Presse - Loto,55,Vente FDC Tabac FDJ en ccial Montcourt Fromonville,77140,901
235695,2400968,Tabac - Presse - Loto,70,Vente FDC tabac FDJ presse à Samois-sur-Seine,77920,2130
180000,2398126,Tabac - Presse - Loto,56,AV FDC tabac presse FDJ papeterie Fontainebleau,77300,2130
260000,2397392,Tabac - Presse - Loto,60,Vente FDC Tabac presse loto 37m² à la Rochette,,
210000,2395504,Tabac - Presse - Loto,50,Vente FDC tabac loto FDJ proximité Fontainebleau,77630,2130
229000,2393327,Tabac - Presse - Loto,145,AV FDC tabac FDJ avec log empln°1 à Fontainebleau,77300,
253000,2347604,Tabac - Presse - Loto,0,AV FDC tabac FDJ PMU centre ville Seine et Marne,,
585000,2382564,Tabac - Presse - Loto,0,Vente FDC tabac loto FDJ presse en centre ville 77,77100,1800
299727,2376297,Tabac - Presse - Loto,85,Vente FDC tabac PMU FDJ presse en zc à Melun,77000,1200
264000,2339089,Tabac - Presse - Loto,32,Vente FDC civette avec logement à Nemours centre,77140,1400
259000,2337865,Tabac - Presse - Loto,115,Vente civette avec logement à Bray sur Seine,77480,1400
437527,2335130,Tabac - Presse - Loto,247,Cession  tabac multi-services village premium 77,77000,1700
363000,2327110,Tabac - Presse - Loto,50,Vente FDC civette tabac à Bois le Roi axe passant,,700
1648000,2291881,Tabac - Presse - Loto,0,Vente FDC tabac loterie cigarettes électroniques,,
220000,2293840,Tabac - Presse - Loto,0,Vente tabac presse FDJ ville historique 77,77000,2130
416324,2287825,Tabac - Presse - Loto,70,Vente affaire de tabac en Nord de Seine-et-Marne,77130,1250
702520,2286851,Tabac - Presse - Loto,140,Vend FDC tabac presse FDJ en centre cial à Rebais,77510,1599
487800,2189267,Tabac - Presse - Loto,100,A vendre FDC tabac FDJ 77 Nord près N3 et A104,,
390000,2180298,Tabac - Presse - Loto,60,Vente civette tabac loto FDJ PMU à développer 77,,670
267924,2159503,Tabac - Presse - Loto,45,Vente tabac presse sur axe principal 77,,856
520000,49309,Bar - Brasserie - Tabac,200,AV Brasserie/Bistrot - Emplacement stratégique,,
199400,2393908,Bar - Brasserie - Tabac,50,AV bar Francaises des Jeux centre ville 77 Nord,,
996000,2404288,Bar - Brasserie - Tabac,300,AV bar brasserie tabac francaises des jeux Nord 77,,
39500,2403096,Bar - Brasserie - Tabac,112,Vente bar tabac restauration à Thoury-Férottes,,
