price,id,category,surface,title,zip_code,rent
289124,2332544,Restaurant,120,Vente restaurant à Paris rive droite proche gare,,1876
440000,2332407,Restaurant,0,AV restaurant VAE traiteur salon de thé à Paris,,
498000,2332408,Restaurant,0,AV lic IV brasserie restaurant pizzeria bar Paris,,
162400,2332303,Restaurant,50,Vente FDC restauration à Paris 75015 axe passant,,
277000,2332259,Restaurant,90,AV affaire récemment ouverte à Paris,,
308000,2331958,Restaurant,188,Vente restaurant belle vitrine Paris 75008,,4298
213000,2331863,Restaurant,50,AV restaurant 75007 Invalides Assemblée Nationale,,2862
331500,2331844,Restaurant,140,Vente restaurant d'angle dans le Sud de Paris,,1658
267924,2331841,Restaurant,134,AV restaurant et bar insonorisé bail récent Paris,,3200
156800,2331683,Restaurant,157,A vendre affaire refaite à neuf Paris 75019,,
210520,2331682,Restaurant,20,AV très joli restaurant idéalement placé à Paris,,
422000,2291185,Restaurant,120,A vendre restaurant (Licence 4) Paris 2,,4333
230000,2331332,Restaurant,0,Vente FDC restaurant Faubourg Poissonnière 75009,,2773
445500,2331280,Restaurant,120,AV restaurant 44 couverts + terrasse 75009 Paris,,
135000,2331263,Restaurant,65,Vente restaurant Sentier Bonne Nouvelle 75002,,2501
350000,2331262,Restaurant,90,Vente restaurant Dupleix Motte Piquet 75015,,1374
112000,2331248,Restaurant,96,Vente restaurant quartier Lepic Montmartre 75018,,3650
504000,2331250,Restaurant,119,AV restaurant lic IV dans le quartier bourse 75002,,2000
273220,2331220,Restaurant,120,AV restaurant de 34 places secteur Champs Elysées,,4676
267000,2331218,Restaurant,80,Vente restaurant avec Licence IV empl 1bis Paris,,1583
270000,2331172,Restaurant,80,Vente restaurant licence IV petit loyer 75005,,2500
200000,2330651,Restaurant,85,Vente restaurant italien Ménilmontant 75020,,1375
112000,2330650,Restaurant,70,Vente restaurant avec extraction et terrasse 75018,,2119
201600,2330649,Restaurant,55,AV restaurant bar à vin à Paris 75003,,2866
277000,2330435,Restaurant,75,Cession d'un fonds de commerce de restaurant,,
