price,id,category,surface,title,zip_code,rent
398880,2378517,Restaurant,170,Vente restaurant 80 pl sortie de métro à Paris,,5500
266880,2308284,Restaurant,55,Vente restaurant traditionnel Paris 4 Ile St Louis,,3000
216800,2378415,Restaurant,90,Vente restaurant à Paris Quartier Beaubourg,75003,
379400,2378414,Restaurant,100,Vente restaurant idéal 1ere affaire à Paris 75009,,
416480,2378383,Restaurant,115,Vente restaurant avec terrasse à Paris 9 Pigalle,75009,
112000,2378327,Restaurant,55,Vente FDC restauration  à Paris 12e Daumesnil,,
140000,2378306,Restaurant,80,A vendre FDC restauration avec extraction Paris 8,,
250000,2378287,Restaurant,85,Vente commerce de 85m² à Paris 19 Flandre,,2035
990000,2378137,Restaurant,0,AV restaurant haut de gamme à Paris Triangle d'Or,,
180000,2377922,Restaurant,0,Vente restaurant à Paris 75002 rue passante,,
174000,2377919,Restaurant,0,A vendre restaurant refait à neuf à Paris 75009,,
580000,2377796,Restaurant,160,Vente restaurant licence IV à Paris 75002,,
23000,2377750,Restaurant,105,Vente commerce de 105m² Paris 75005 Saint Michel,,3062
479927,2377713,Restaurant,100,Vente restaurant 100m² à Paris Rive Droite 75009,75009,4197
416324,2377715,Restaurant,70,Vente beau restaurant top emplacement Paris centre,,3417
208595,2377712,Restaurant,60,À vendre restaurant pizzeria dans l'est parisien,,2032
907235,2377708,Restaurant,115,Cède grand restaurant top emplacement Paris centre,,5449
750000,2377693,Restaurant,85,Vente murs et fonds restauration à Paris 19e,,
3200,2377611,Restaurant,50,location gérance restauration extraction 75011,,3200
660000,2377600,Restaurant,120,A vendre restaurant de charme avec terrasse,,
635680,2377525,Restaurant,225,AV restaurant licence 4 de 70 pl + 38 ter à Paris,,6667
150000,2184234,Restaurant,87,Vente FDC restauration rapide rue Censier 75005,,
338800,2239470,Restaurant,83,Vend restauration traditionnel de 83m² Paris 75011,,2480
112000,2294071,Restaurant,70,Vente restaurant traditionnel extraction à Paris 8,,1390
379400,2377479,Restaurant,70,Vente restaurant avec extraction à Paris 75017,75017,
284960,2377440,Restaurant,196,Vente restaurant avec extraction à Paris 75010,75010,
115500,2377322,Restaurant,83,Vente restaurant gastronomique à Paris 75017,,
225000,2377286,Restaurant,120,Vente restaurant 120m² + espace traiteur Paris 9,75009,3350
135000,2377265,Restaurant,95,Vente commerce de 95m² à Paris 12 Nation,,2218
250000,2377264,Restaurant,120,Vente commerce de 120m² à Paris 10 Paradis,,3660
100000,2377263,Restaurant,33,Vente commerce de 33m² à Paris 75011 République,,1700
270000,2377251,Restaurant,120,Vente restaurant de 120m² à Paris 18 La Fourche,,3851
185000,2377249,Restaurant,50,Vente commerce de 65m² à Paris 75011 Nation,,2032
355520,2377240,Restaurant,90,Vente restaurant d'angle licence 4 à Paris 75010,,2288
395127,2377203,Restaurant,100,Vente restaurant top secteur à Paris 75009,,3140
479927,2377199,Restaurant,80,Vente bar restaurant top empl à Paris Rive Droite,,3411
416327,2377205,Restaurant,101,AV restaurant licence 4 top empl Paris rive Droite,,921
331527,2377201,Restaurant,60,Vente brasserie restaurant avec licence 4 à Paris,,3083
278527,2377200,Restaurant,80,AV joli restaurant rue pleine de charme Paris Est,,2205
360000,2377190,Restaurant,84,Vente restauration traditionnel à Paris 75005,,1750
143000,2377113,Restaurant,90,AV dark kitchen laboratoire à Paris 13 Olympiades,,
542000,2377111,Restaurant,200,AV restaurant avec extraction licence 4 Paris 09,,
277000,2377108,Restaurant,75,Très joli restaurant 75m² à vendre quartier mixte,,
599000,2371880,Restaurant,213,Vente restaurant à Paris Faubourg Saint Martin,75010,4911
320000,2368198,Restaurant,100,Vente restaurant bistronomique à Paris 75002,,4669
165000,2239921,Restaurant,36,Vente restaurant à Paris 17 Coeur des Batignolles,,1725
212800,2371504,Restaurant,50,Cède restaurant 30 à 35 cvts petite terrasse Paris,,2450
964201,2371452,Restaurant,130,AV restaurant extraction Paris Marais touristique,,8849
310000,2371432,Restaurant,164,Vente restaurant à Paris 75018 emplacement N°1,,1333
649800,2371430,Restaurant,160,Vente beau restaurant bien situé à Paris 75015,75015,2767
329000,2371393,Restaurant,190,AV restaurant terrasse et sous-sol privatisable 17,,
321000,2370989,Restaurant,55,Cède restaurant traditionnel Paris 20 Ménilmontant,,
258000,2370988,Restaurant,70,A vendre restaurant à Paris 75006 Notre Dame,,
187000,2370972,Restaurant,74,Vente restaurant terrasse licence GR à Paris 75019,75019,1567
385000,2370964,Restaurant,40,Restaurant à céder à Paris 4 St Paul le Marais,75004,
135000,2370959,Restaurant,35,Vente restaurant 35m² à Paris 75018 Montmartre,,900
244000,2370953,Restaurant,80,Restaurant de 80m² à vendre à Paris 18 Montmartre,,2847
135000,2370940,Restaurant,60,Vente restaurant de 60m² à Paris 12 Daumesnil,,1840
702527,2370876,Restaurant,120,Vente restaurant situé au cœur du marais à Paris 3,,6500
360000,2370856,Restaurant,130,Vente restaurant 50 cvts extraction à Paris 75011,75011,4140
328800,2370779,Restaurant,59,Cession fonds de commerce restaurant avec terrasse,,
642000,2370726,Restaurant,40,Vente restaurant licence 4 à Paris Saint Germain,,3200
460000,2370679,Restaurant,170,Vente restaurant empl N°1 à Paris 2 Montorgueil,75002,
1080000,2370675,Restaurant,130,Vente restaurant bar licence IV à Paris 20e,,
299000,2370670,Restaurant,90,Vente restaurant top emplacement à Paris 75005,75005,
199000,2370668,Restaurant,60,Vente fonds restaurant italien à Paris 75009,75009,
55000,2370523,Restaurant,67,Vente commerce restauration métro Bréguet - Sabin,,3000
400000,2370522,Restaurant,150,Vente restaurant Montorgueil Saint-Denis 75002,,4200
590000,2370517,Restaurant,160,Vente commerce 160m² Saint Philippe du Roule 75008,,6416
210000,2370515,Restaurant,70,Vente beau restaurant d'angle Haut Marais 75003,,5200
435000,2370482,Restaurant,142,Cède restaurant avec extraction Paris 18 fort flux,,1966
58000,2370480,Restaurant,58,A vendre restaurant sans extraction à Paris 75009,,2300
330000,2370469,Restaurant,80,Cède restaurant extraction licence 3 à Paris 75010,,1800
493200,2370348,Restaurant,90,Vente bar restaurant à Paris 75009 Opéra Haussman,75009,
328800,2370347,Restaurant,95,Vente restaurant bar à Paris 6 St-Germain-des-Près,75006,
400000,2370196,Restaurant,86,Vente restaurant métro Buttes Chaumont 75019,,2269
180000,2370194,Restaurant,55,Vente fonds de commerce  Voltaire / Charonne 75011,,2509
648000,2370183,Restaurant,200,Vente restaurant 90 couverts lic 4 gros ca à Paris,,6800
596000,2370161,Restaurant,160,Vente restaurant idéalement situé à Paris 75005,,12051
2103815,2370160,Restaurant,750,Av bar restaurant Paris rive droite triangle d'or,,45214
2725260,2370159,Restaurant,645,vente restaurant d'exception dans l'ouest Parisien,,23333
179200,2370078,Restaurant,60,AV restaurant extraction Paris 09 quartier animé,,
433600,2370067,Restaurant,102,Vente restaurant de charme à Paris quartier Marais,75004,
295920,2370066,Restaurant,70,Vente restaurant refait complètement à neuf,,
199440,2370068,Restaurant,80,Cession restaurant avec magnifiques terrasses,,
95000,2369953,Restaurant,38,Vente restaurant  à Paris 10eme,,
349000,2369386,Restaurant,100,AV restaurant avec Paris 75002 Grands Boulevards,75002,
224000,2369348,Restaurant,130,Restaurant bien équipé à vendre à Paris 75010,,6000
974575,2369335,Restaurant,200,Vente restaurant bar d'angle top emplacement Paris,,5544
437524,2369338,Restaurant,0,Vente magnifique établissement d'angle à Paris,,4200
278524,2369333,Restaurant,140,Vente beau restaurant centre Nord de Paris,,8900
278527,2369331,Restaurant,90,AV restaurant extraction externe 400mm à Paris,,2813
1067815,2369329,Restaurant,200,Vente restaurant top quartier joli potentiel Paris,,5991
112000,2369212,Restaurant,58,Affaire prête à l'emploi à vendre avec terrasse,,
850000,2369085,Restaurant,270,Vente bar restaurant à Paris 10ème,,
200000,2368682,Restaurant,31,Vente restaurant terrasse à Paris Montparnasse,,
749000,2368608,Restaurant,119,Vente restaurant avec extraction lic IV à Paris 17,,
154000,2368595,Restaurant,0,Vente restaurant snack VAE traiteur à Paris 75015,,
200000,2368248,Restaurant,20,Vente commerce de 20m² à Paris 09 Clichy Trinité,,1700
448000,2368237,Restaurant,55,Vente restaurant 40 cvts licence 3 à Paris 75011,,1300
808527,2368215,Restaurant,0,Vente restaurant terrasse à Paris Rive Droite,,2804
352000,2368217,Restaurant,75,AV restaurant quartier très vivant branché Paris,,1800
418000,2368203,Restaurant,0,Vente restautant traditionnel licence IV à Paris 5,,2529
383600,2368140,Restaurant,100,Vente restaurant en très bon état Paris Montmartre,75018,
383600,2368137,Restaurant,150,AV très joli restaurant en angle idéalement situé,,
368560,2368134,Restaurant,127,A vendre élégant restaurant gastronomique,,
110000,2368122,Restaurant,144,Vente restaurant italien à Paris 15 Montparnasse,,
352000,2368090,Restaurant,0,Cède restaurant VAE salon de thé à Paris centre,,
476960,2367869,Restaurant,120,Vente restaurant avec terrasse à Paris 75013,75013,
