price,id,category,surface,title,zip_code,rent
702527,2405387,Tabac - Presse - Loto,65,Vente FDC civette tabac loto PMU à Créteil,94000,8925
384524,2403651,Tabac - Presse - Loto,82,Civette FDJ/Loto PMU à Vendre proche de Paris,94230,622
1000000,2385696,Tabac - Presse - Loto,60,Vente FDC civette tabac FDJ dept Val de Marne 94,,
840000,2385695,Tabac - Presse - Loto,60,Vente FDC Civette Tabac FDJ en Val de Marne 94,,
998000,2385613,Tabac - Presse - Loto,55,A vendre tabac loto FDJ PMU bien située 94,,1060
850000,2365851,Tabac - Presse - Loto,35,Vente civette tabac loto FDJ PMU dept Val de Marne,,1370
87914,2349551,Tabac - Presse - Loto,30,Vente FDC kiosque multi-services Val de Marne,,241
1330000,2342149,Tabac - Presse - Loto,60,Vente civette loto FDJ bien placée en Essonne,,2583
643200,2304272,Tabac - Presse - Loto,0,Tabac presse loto à vendre dans le 94,,
546720,2301530,Tabac - Presse - Loto,0,Belle civette à vendre dans le Val de Marne,,
199440,2024031,Tabac - Presse - Loto,37,Vente tabac FDJ d'angle 94 proche A4/Grand Paris,,
1482161,2405264,Bar - Brasserie - Tabac,350,Vente bar/brasserie top emplacement Thiais Orly,94320,6477
1480000,2406562,Bar - Brasserie - Tabac,385,Vente bar brasserie 100 places + 60 en terrasse,,6600
16574,2406203,Bar - Brasserie - Tabac,0,Vente licence 4 dans le Val de Marne,,
1720000,2403027,Bar - Brasserie - Tabac,90,Vente bar Tabac Loto FDJ  bien situé Val de Marne,,3925
352000,2401634,Bar - Brasserie - Tabac,500,Vente bar FDJ restaurant licence 4  l'Hay de Roses,,3089
352000,2388070,Bar - Brasserie - Tabac,0,Vente brasserie restaurant pizzeria Val de Marne,,
543527,2358903,Bar - Brasserie - Tabac,423,Vente bar tabac FDJ PMU avec appart Val de Marne,94100,2244
506427,2395671,Bar - Brasserie - Tabac,80,AV magnifique bar brasserie PMU St-Maur-des-Fossés,94100,2305
980000,2394960,Bar - Brasserie - Tabac,80,Vente bar tabac loto FDJ PMU à developper dept 94,,1700
557440,2394520,Bar - Brasserie - Tabac,170,AV brasserie 70 couverts avec terrasse en angle,,
257327,2393067,Bar - Brasserie - Tabac,150,Vente bar brasserie FDJ PMU dept Val de Marne,94600,1946
275000,2393042,Bar - Brasserie - Tabac,175,Vente FDC cave à vin et bar vin Ivry sur Seine,94200,1200
231000,2392550,Bar - Brasserie - Tabac,0,Vente bar licence IV PMU FDJ d'angle Val de Marne,,
16574,2387603,Bar - Brasserie - Tabac,0,Vente licence 4 dans le Val de Marne,,
398000,2385612,Bar - Brasserie - Tabac,180,Vente bar brasserie bien placée grande terrasse 94,,1800
1340000,2384658,Bar - Brasserie - Tabac,160,Brasserie sortie de gare 110 pl + 70 ter ferme W.K,,2994
487500,2379033,Bar - Brasserie - Tabac,1,Vente très beau bar tabac dans le Val de Marne,94800,2085
964201,2382134,Bar - Brasserie - Tabac,160,Vente belle brasserie avec terrasse proche Paris,94230,3667
825000,2380487,Bar - Brasserie - Tabac,1130,Vente restaurant avec terrasse à la Queue en Brie,94510,8333
691927,2379877,Bar - Brasserie - Tabac,76,Vente bar brasserie licence IV en Val-de Marne,94600,2000
258496,2378207,Bar - Brasserie - Tabac,70,Vente bar pub possibilité de développement dept 94,,
548000,2376250,Bar - Brasserie - Tabac,128,Vente bar-tabac en secteur recherché Val de Marne,,
363000,2372500,Bar - Brasserie - Tabac,0,Vente restaurant bar licence IV dept Val de Marne,,
174000,2369191,Bar - Brasserie - Tabac,200,Vente bar-brasserie au cœur de Vitry sur Seine,,
277000,2365912,Bar - Brasserie - Tabac,90,Cède joli bar brasserie en centre ville,,
542000,2365115,Bar - Brasserie - Tabac,90,Cède bar tabac PMU quartier pavillonnaire dept 94,,
363327,2364953,Bar - Brasserie - Tabac,250,Vente brasserie terrasse top emplacement dept 94,94000,2813
429000,2356274,Bar - Brasserie - Tabac,0,Vente bar tabac FDJ PMU en Val de Marne,,
1258000,2350515,Bar - Brasserie - Tabac,200,Vente bar restaurant empl N°1 à Nogent sur Marne,,7500
1677000,2350514,Bar - Brasserie - Tabac,135,Vente brasserie 135m² + terrasse empl N°1 St Mandé,,4205
340000,2349314,Bar - Brasserie - Tabac,130,Vente commerce avec extraction à Saint-Mandé,,3500
224855,2348857,Bar - Brasserie - Tabac,96,AV bar brasserie FDJ PMU proche centre comm.  94,,1533
253000,2342991,Bar - Brasserie - Tabac,52,AV bar débit de boissons lic IV St Maur des Fosses,,
543520,2339439,Bar - Brasserie - Tabac,200,AV bar brasserie de 100 places 94 proche Paris,94290,3186
935000,2337627,Bar - Brasserie - Tabac,0,Vente restaurant lic IV bar brasserie Val de Marne,,
1274970,2334879,Bar - Brasserie - Tabac,310,Vente bar brasserie 160 pl à Saint-Maur-des-Fossés,,2993
998000,2334839,Bar - Brasserie - Tabac,0,Vente bar tabac loterie loto dept Val de Marne,,
515200,2330124,Bar - Brasserie - Tabac,45,Vente brasserie lic 4 terrasse dans l'est Parisien,,1850
