chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
12,460,965000,20,bien-exception-1374929,Manoir Causse-et-Diège - 12 chambres - 460m²,12700,MANOIR,SELECTION HABITAT,Causse-et-Diège,MANOIR,https://www.bellespierres.com/photo-causse-et-diege-12-manoir/d137/1374929/38f99a8b7218890636a02f7f55cf939f_6f50e480f40e53c082ccda190b7ad6a3_apx_1024_.jpg
11,650,695000,18,bien-exception-1373381,Maison Saint-Affrique - 11 chambres - 650m²,12400,MAISON,SELECTION HABITAT,Saint-Affrique,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-affrique-12-maison-de-luxe/d137/1373381/bcec20ea36b851c70e9e6a2c61a6eab3_96a825b4f767cbed8ba44d9d331f3b45_apx_1024_.jpg
5,344,579000,11,bien-exception-1372647,Maison Saint-Jean-et-Saint-Paul - 5 chambres - 344m²,12250,MAISON,RESEAU EXPERTIMO,Saint-Jean-et-Saint-Paul,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-jean-et-saint-paul-12-maison-de-luxe/d137/1372647/af92cb5a9db33994f3683ca0b7b2ccf1_07688d6c52369f855fbaa01b0f2821b1_apx_1024_.jpg
4,165,549000,7,bien-exception-1369735,Maison Millau - 4 chambres - 165m²,12100,MAISON,MERCURE FORBES GLOBAL PROPERTIES TOULOUSE - OCCITANIE,Millau,MAISON_DE_LUXE,https://www.bellespierres.com/photo-millau-12-maison-de-luxe/d136/1369735/2c5a9f97649adbf359cb410ea1c9d90f_ce5cecc1e1d73224bddc7c1846b4e97e_apx_1024_.jpg
6,218,748000,8,bien-exception-1366373,Moulin Rignac - 6 chambres - 218m²,12390,MOULIN,SELECTION HABITAT,Rignac,MOULIN,https://www.bellespierres.com/photo-rignac-12-moulin/d136/1366373/6d5f0f93cd4b01a59e0ed871b336f287_1fba933fe2053fcfb25d0961fd3eb9ae_apx_1024_.jpg
4,225,547000,9,bien-exception-1365791,Propriété Marcillac-Vallon - 4 chambres - 225m²,12330,PROPRIETE,SELECTION HABITAT,Marcillac-Vallon,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-marcillac-vallon-12-propriete-de-luxe/d136/1365791/ba81ca0b097b4e5ed4f36f3bbc695d13_7e8243fb0f68c2c94c66ad6a97618596_apx_1024_.jpg
5,574,960000,12,bien-exception-1364107,Manoir Villecomtal - 5 chambres - 574m²,12580,MANOIR,SELECTION HABITAT,Villecomtal,MANOIR,https://www.bellespierres.com/photo-villecomtal-12-manoir/d136/1364107/20bf55b25bdbf39d4026e361294aed45_6bf680f197ca83e6b94f3b6337249adf_apx_1024_.jpg
5,305,749000,10,bien-exception-1363819,Propriété Arvieu - 5 chambres - 305m²,12120,PROPRIETE,SELECTION HABITAT,Arvieu,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-arvieu-12-propriete-de-luxe/d136/1363819/c65e4f850c0731294e282f1e89a0843a_e0cf4b4eb40ad42d9f1c1e5e53a38ae9_apx_1024_.jpg
8,500,976000,20,bien-exception-1363662,Château Rivière-sur-Tarn - 8 chambres - 500m²,12640,CHATEAU,SELECTION HABITAT,Rivière-sur-Tarn,CHATEAU,https://www.bellespierres.com/photo-riviere-sur-tarn-12-chateau/d136/1363662/038e46184776d3f177356f70d96f8f44_d515db0d33a22def8dcc39dfb26b6575_apx_1024_.jpg
25,833,895000,21,bien-exception-1363214,Maison Causse-et-Diège - 25 chambres - 833m²,12700,MAISON,SELECTION HABITAT,Causse-et-Diège,MAISON_DE_LUXE,https://www.bellespierres.com/photo-causse-et-diege-12-maison-de-luxe/d136/1363214/9b3db57311e6a928cd3662090ad1c89e_e855374569a7318e764df76b6fc77abc_apx_1024_.jpg
