chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
2,178,509600,4,bien-exception-1375160,Appartement Bourges - 2 chambres - 178m²,18000,APPARTEMENT,BARNES Centre Sologne Val de Loire,Bourges,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-bourges-18-appartement-de-luxe/d137/1375160/102122ce4274259b773bbe6cc95b4e56_ea0dea9bcb2d4fbd9de13db0a7e8a0d3_apx_1024_.jpg
7,425,849900,12,bien-exception-1372692,Propriété Bourges - 7 chambres,18000,PROPRIETE,Propriétés Privées,Bourges,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-bourges-18-propriete-de-luxe/d137/1372692/d1bb476ed4bb22f124921ba7509dbf39_f6564e715778adefd6ac934f892cb3ee_apx_1024_.jpg
6,241,1166000,9,bien-exception-1371606,Propriété Brinon-sur-Sauldre - 6 chambres - 241m²,18410,PROPRIETE,BARNES Centre Sologne Val de Loire,Brinon-sur-Sauldre,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-brinon-sur-sauldre-18-propriete-de-luxe/d137/1371606/c34d2f5f932a35046d05d5bf54e396c0_1fa2bcb01d12d5c19e2fecad3522342e_apx_1024_.jpg
16,1173,1290000,20,bien-exception-1369713,Château La Guerche-sur-l'Aubois - 16 chambres - 1173m²,18150,CHATEAU,MERCURE FORBES GLOBAL PROPERTIES CENTRE LOIRE,La Guerche-sur-l'Aubois,CHATEAU,https://www.bellespierres.com/photo-la-guerche-sur-l-aubois-18-chateau/d136/1369713/84e3120349b113372ab61b628e3dfcbf_f4e30e7898b901ab0849b6268c8943b2_apx_1024_.jpg
7,695,1166000,20,bien-exception-1368265,Hôtel particulier Bourges - 7 chambres - 736m²,18000,HOTEL PARTICULIER,BARNES Centre Sologne Val de Loire,Bourges,HOTEL_PARTICULIER,https://www.bellespierres.com/photo-bourges-18-hotel-particulier/d136/1368265/62027b13d6ad7c5d658dd3858d9f091f_a819e78fcaf3b426acac2cedf342a2d8_apx_1024_.jpg
5,350,495000,8,bien-exception-1367035,Maison Bourges - 5 chambres - 350m²,18000,MAISON,MERCURE FORBES GLOBAL PROPERTIES CENTRE LOIRE,Bourges,MAISON_DE_LUXE,https://www.bellespierres.com/photo-bourges-18-maison-de-luxe/d136/1367035/c68e66fdebd93135d9dd254bec68001a_2fde1c01465b810bd8c4388bc5a64b65_apx_1024_.jpg
8,335,550000,12,bien-exception-1366076,Propriété Bourges - 8 chambres - 335m²,18000,PROPRIETE,BARNES Centre Sologne Val de Loire,Bourges,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-bourges-18-propriete-de-luxe/d136/1366076/c948d5250f7f6d2a7ea0bddfa7eba8cb_de82778619d673a5648aab27c7cc80ef_apx_1024_.jpg
9,0,850000,14,bien-exception-1359155,Château Bourges - 9 chambres,18000,CHATEAU,BARNES Centre Sologne Val de Loire,Bourges,CHATEAU,https://www.bellespierres.com/photo-bourges-18-chateau/d135/1359155/91e504267f22b14ebbad6c0ba78e7c3f_85d668260ee872140916259cf587ee71_apx_1024_.jpg
5,0,525000,11,bien-exception-1359154,Appartement Les Aix-d'Angillon - 5 chambres,18220,APPARTEMENT,BARNES Centre Sologne Val de Loire,Les Aix-d'Angillon,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-les-aix-d-angillon-18-appartement-de-luxe/d135/1359154/5470c750f4f0e6b3c70ca2d6b46fb7ee_aceb1e0089089436060d787858202943_apx_1024_.jpg
6,0,649000,9,bien-exception-1358986,Appartement Bourges - 6 chambres,18000,APPARTEMENT,BARNES Centre Sologne Val de Loire,Bourges,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-bourges-18-appartement-de-luxe/d135/1358986/88e17371eb80777dda7d0328eb32b76c_d411aab0cbabc86dad86d5106804d0df_apx_1024_.jpg
20,1400,2000000,20,bien-exception-1353618,Château Bourges - 20 chambres - 1400m²,18000,CHATEAU,MERCURE FORBES GLOBAL PROPERTIES CENTRE LOIRE,Bourges,CHATEAU,https://www.bellespierres.com/photo-bourges-18-chateau/d135/1353618/2b7407a8aa4f019f113f00e0bf740096_12aa82be414df493004d72145b9d84c5_apx_1024_.jpg
7,423,861000,13,bien-exception-1352303,Château Allogny - 7 chambres - 423m²,18110,CHATEAU,BARNES Centre Sologne Val de Loire,Allogny,CHATEAU,https://www.bellespierres.com/photo-allogny-18-chateau/d135/1352303/d8d1b0791743b74db34885a2febc2552_9671d008eff0eff0299b8f6c632da7a3_apx_1024_.jpg
0,0,1510000,1,bien-exception-1348954,Château Bourges,18000,CHATEAU,BARNES Centre Sologne Val de Loire,Bourges,CHATEAU,https://www.bellespierres.com/photo-bourges-18-chateau/d134/1348954/e503eb1afdd3f04d8d81643b210dea7d_a084bb9aa113ee038cb31b6d6dc1c072_apx_1024_.jpg
6,215,490000,14,bien-exception-1347880,Terrain Bourges - 6 chambres - 215m²,18000,TERRAIN,MERCURE FORBES GLOBAL PROPERTIES CENTRE LOIRE,Bourges,TERRAIN,https://www.bellespierres.com/photo-bourges-18-terrain/d134/1347880/ed4a15e4e292beef5ce121c5039c4456_ba93563a4f50766d1086d2e8b610270e_apx_1024_.jpg
7,230,530000,11,bien-exception-1346423,Maison Neuvy-sur-Barangeon - 7 chambres - 230m²,18330,MAISON,BARNES Centre Sologne Val de Loire,Neuvy-sur-Barangeon,MAISON_DE_LUXE,https://www.bellespierres.com/photo-neuvy-sur-barangeon-18-maison-de-luxe/d134/1346423/9cce7e91b6518c155b2ef79705a501c4_026ce1b4fa966fc7edea27abd2e53607_apx_1024_.jpg
7,450,850000,11,bien-exception-1344386,Château Bourges - 7 chambres - 450m²,18000,CHATEAU,MERCURE FORBES GLOBAL PROPERTIES CENTRE LOIRE,Bourges,CHATEAU,https://www.bellespierres.com/photo-bourges-18-chateau/d134/1344386/df14ee3e864e16f1f812d8d246015e64_abbe807e28699b11f62ae6e3b9e7c2c6_apx_1024_.jpg
7,266,524000,10,bien-exception-1335004,Maison Saint-Amand-Montrond - 7 chambres - 336m²,18200,MAISON,BARNES Centre Sologne Val de Loire,Saint-Amand-Montrond,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-amand-montrond-18-maison-de-luxe/d133/1335004/0d45b007abb5a2018e87211c7bb00131_b556aa88c86196e5146ac025a30bf202_apx_1024_.jpg
21,1160,2730000,20,bien-exception-1330611,Propriété Neuvy-sur-Barangeon - 21 chambres - 1160m²,18330,PROPRIETE,BARNES Centre Sologne Val de Loire,Neuvy-sur-Barangeon,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-neuvy-sur-barangeon-18-propriete-de-luxe/d133/1330611/781050a736e812cd2f1b01d10fee5c2e_8d4dd94199e27f15f78c4fa109713e0f_apx_1024_.jpg
