chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
0,290,496800,9,bien-exception-1375438,Maison Foix - 290m²,09000,MAISON,IMMO DIFFUSION,Foix,MAISON_DE_LUXE,https://www.bellespierres.com/photo-foix-09-maison-de-luxe/d137/1375438/2b59a9a2fa9c717dba648c94d976c2b6_6ce719de26e51a605358e2eaef7aed10_apx_1024_.jpg
7,309,690000,10,bien-exception-1372841,Bien atypique Saverdun - 7 chambres - 309m²,09700,BIEN ATYPIQUE,SELECTION HABITAT,Saverdun,BIEN_ATYPIQUE,https://www.bellespierres.com/photo-saverdun-09-bien-atypique/d137/1372841/069badf017376e41a3666952ec140ae2_61df67153d04a90ac2e967f6c0b76a42_apx_1024_.jpg
7,162,580000,9,bien-exception-1372801,Maison Mirepoix - 7 chambres - 162m²,09500,MAISON,Europe Sud Immobilier - Esi,Mirepoix,MAISON_DE_LUXE,https://www.bellespierres.com/photo-mirepoix-09-maison-de-luxe/d137/1372801/7d5624cc91b804adf9468122c61743f3_08b6fdb3d0ef7d370d0f192c73152e6a_apx_1024_.jpg
8,520,975000,20,bien-exception-1372694,Maison Mirepoix - 8 chambres - 520m²,09500,MAISON,Europe Sud Immobilier - Esi,Mirepoix,MAISON_DE_LUXE,https://www.bellespierres.com/photo-mirepoix-09-maison-de-luxe/d137/1372694/e5eb82105148b3a6d59f061b66f2236e_32ef86583140891c191989d8dbc90f7a_apx_1024_.jpg
6,450,795000,12,bien-exception-1371607,Propriété Lézat-sur-Lèze - 6 chambres - 450m²,09210,PROPRIETE,MERCURE FORBES GLOBAL PROPERTIES TOULOUSE - OCCITANIE,Lézat-sur-Lèze,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-lezat-sur-leze-09-propriete-de-luxe/d137/1371607/6cba7a9608bd7bc08bb0755719f60b29_54e72c02d54bcf64b4c31411ded3913a_apx_1024_.jpg
5,224,515000,9,bien-exception-1370792,Maison Saint-Paul-de-Jarrat - 5 chambres - 224m²,09000,MAISON,SELECTION HABITAT,Saint-Paul-de-Jarrat,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-paul-de-jarrat-09-maison-de-luxe/d137/1370792/a50946c09e3b8c34733940603c4a9d63_0a3e3035d101dddb8b723777dbcacc5f_apx_1024_.jpg
11,500,895000,20,bien-exception-1370194,Château Foix - 11 chambres - 500m²,09000,CHATEAU,SELECTION HABITAT,Foix,CHATEAU,https://www.bellespierres.com/photo-foix-09-chateau/d137/1370194/b69a095005fdf3eb5d7c39530bbf1c47_4211a4b9be193559220e246586e95f37_apx_1024_.jpg
6,460,1200000,12,bien-exception-1370055,Propriété Pamiers - 6 chambres - 460m²,09100,PROPRIETE,SELECTION HABITAT,Pamiers,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-pamiers-09-propriete-de-luxe/d137/1370055/820024587c1d1e1f02abdcd190f45f09_d2b0e9846763ea8d448600f3375a3aad_apx_1024_.jpg
0,648,895000,20,bien-exception-1369738,Maison Foix - 648m²,09000,MAISON,IMMO DIFFUSION,Foix,MAISON_DE_LUXE,https://www.bellespierres.com/photo-foix-09-maison-de-luxe/d136/1369738/1145afe521c099ccef84da92a62e16da_fcac60fa18d41ee20d03c82c6b3a745c_apx_1024_.jpg
6,270,590000,8,bien-exception-1367471,Maison Crampagna - 6 chambres - 270m²,09120,MAISON,API IMMOBILIER,Crampagna,MAISON_DE_LUXE,https://www.bellespierres.com/photo-crampagna-09-maison-de-luxe/d136/1367471/73ebde4bb0b14717e99a9aaab9f7d9d3_446c242621d86e2f1a1d62503550c02a_apx_1024_.jpg
0,658,1210000,20,bien-exception-1366531,Maison Mirepoix - 658m²,09500,MAISON,IMMO DIFFUSION,Mirepoix,MAISON_DE_LUXE,https://www.bellespierres.com/photo-mirepoix-09-maison-de-luxe/d136/1366531/9edbd590499ca96ceff540edd7a8e2f5_c1319637f8096784d4e1d0a43e00efcc_apx_1024_.jpg
8,385,630000,11,bien-exception-1364168,Maison Tarascon-sur-Ariège - 8 chambres - 385m²,09400,MAISON,Europe Sud Immobilier - Esi,Tarascon-sur-Ariège,MAISON_DE_LUXE,https://www.bellespierres.com/photo-tarascon-sur-ariege-09-maison-de-luxe/d136/1364168/4d3778f42d48b386df7f3976bb7c3496_721c24fc23b0daaace26f317708c0eff_apx_1024_.jpg
