chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
4,370,2392000,11,bien-exception-1375844,Villa Gordes - 4 chambres,84220,VILLA,PAUL PARKER PROPERTIES,Gordes,VILLA,https://www.bellespierres.com/photo-gordes-84-villa/d137/1375844/ac1b80bdb5e5cf08fb6d73729d60c827_44906cc5a3bf5c94c983574da48832ee_apx_1024_.jpg
4,311,1490000,19,bien-exception-1375838,Maison Taillades - 4 chambres - 311m²,84300,MAISON,Proprietes Du Luberon - Sotheby's International Realty,Taillades,MAISON_DE_LUXE,https://www.bellespierres.com/photo-taillades-84-maison-de-luxe/d137/1375838/40bfb9283b5e7f833eeb836fbc23bded_e6c42e2eb458cd0d6d560e3a507fa301_apx_1024_.jpg
8,580,1245000,14,bien-exception-1375828,Propriété Avignon - 8 chambres,84000,PROPRIETE,Propriétés Privées,Avignon,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-avignon-84-propriete-de-luxe/d137/1375828/f95e080840a970bdc4019491541d3659_9de358f254e2b72d8d5142ad6b9aed6e_apx_1024_.jpg
3,155,630000,4,bien-exception-1375778,Villa Orange - 3 chambres - 155m²,84100,VILLA,DR HOUSE IMMOBILIER,Orange,VILLA,https://www.bellespierres.com/photo-orange-84-villa/d137/1375778/a421abb117a6c0dfc333f7ba7cb52d58_1b21147da8c9da50b9a20510014e5678_apx_1024_.jpg
4,172,1170000,6,bien-exception-1375737,Propriété L'Isle-sur-la-Sorgue - 4 chambres,84800,PROPRIETE,Propriétés Privées,L'Isle-sur-la-Sorgue,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-l-isle-sur-la-sorgue-84-propriete-de-luxe/d137/1375737/103ad93b1b38b7887779af03ffaaeed6_7c49cb87cf203dd20c1c8999a60b304c_apx_1024_.jpg
4,240,575000,9,bien-exception-1375733,Maison Le Pontet - 4 chambres,84130,MAISON,Propriétés Privées,Le Pontet,MAISON_DE_LUXE,https://www.bellespierres.com/photo-le-pontet-84-maison-de-luxe/d137/1375733/127514526343cd08837c57b1e7746f8f_a9ebf38ed607bccc64e823b1e0f78212_apx_1024_.jpg
4,151,995000,6,bien-exception-1375732,Appartement L'Isle-sur-la-Sorgue - 4 chambres,84800,APPARTEMENT,Propriétés Privées,L'Isle-sur-la-Sorgue,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-l-isle-sur-la-sorgue-84-appartement-de-luxe/d137/1375732/2f2486a0b01aa804dd4e4f91564dc3eb_b97beb1b2883cd99f998587459b25a82_apx_1024_.jpg
4,160,575000,7,bien-exception-1375729,Maison Venasque - 4 chambres,84210,MAISON,Propriétés Privées,Venasque,MAISON_DE_LUXE,https://www.bellespierres.com/photo-venasque-84-maison-de-luxe/d137/1375729/2c977d2adeec1ea9c99d3ac0cea0f511_c6cd5dbf8e7503091dc7852dd7eeb7f1_apx_1024_.jpg
4,180,735000,6,bien-exception-1375727,Maison L'Isle-sur-la-Sorgue - 4 chambres,84800,MAISON,Propriétés Privées,L'Isle-sur-la-Sorgue,MAISON_DE_LUXE,https://www.bellespierres.com/photo-l-isle-sur-la-sorgue-84-maison-de-luxe/d137/1375727/f1e3277c6274362d768182bf568a8336_2261376592fc9f80d970434fa24273ec_apx_1024_.jpg
5,170,590000,7,bien-exception-1375712,Maison Vedène - 5 chambres,84270,MAISON,Propriétés Privées,Vedène,MAISON_DE_LUXE,https://www.bellespierres.com/photo-vedene-84-maison-de-luxe/d137/1375712/3d136b06a4cb4f97cfc100050543a83a_eb100edeca3f7202a23883e76b011e8a_apx_1024_.jpg
