chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
4,138,549000,5,bien-exception-1376026,Maison Salasc - 4 chambres,34800,MAISON,Propriétés Privées,Salasc,MAISON_DE_LUXE,https://www.bellespierres.com/photo-salasc-34-maison-de-luxe/d137/1376026/3d95a2662de19a8d844b541aa05eaeac_9955830f86d9d1b2c934fbdec86d3107_apx_1024_.jpg
3,142,935880,4,bien-exception-1375938,Appartement Montpellier - 3 chambres - 142m²,34000,APPARTEMENT,Montpellier Sotheby's International Realty,Montpellier,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-montpellier-34-appartement-de-luxe/d137/1375938/97ad8819fc2a054cd873febd9b5bb8fe_2934b96ce19412410f6eb832d7c0b0d1_apx_1024_.jpg
2,80,649900,3,bien-exception-1375937,Appartement Montpellier - 2 chambres - 80m²,34000,APPARTEMENT,Montpellier Sotheby's International Realty,Montpellier,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-montpellier-34-appartement-de-luxe/d137/1375937/7dae37b4fe0cff0a41fb821ed5890b3e_0357aa3171b871ad0c177e7b30326bd7_apx_1024_.jpg
0,145,529000,6,bien-exception-1375872,Maison Mèze - 145m²,34140,MAISON,IMMO DIFFUSION,Mèze,MAISON_DE_LUXE,https://www.bellespierres.com/photo-meze-34-maison-de-luxe/d137/1375872/895df212c16148a2eec666036dfc43dd_ce644c718d446c436a3c2d080fffe15d_apx_1024_.jpg
5,150,689000,7,bien-exception-1375834,Maison Mauguio - 5 chambres - 150m²,34130,MAISON,TRANSACTION SUD IMMOBILIER,Mauguio,MAISON_DE_LUXE,https://www.bellespierres.com/photo-mauguio-34-maison-de-luxe/d137/1375834/a91f6e1f14f68821813d83139a6dfd72_97c64373a9dfd77e4bcb794c5dc1ec5b_apx_1024_.jpg
4,220,800000,6,bien-exception-1375796,Maison Castelnau-le-Lez - 4 chambres,34170,MAISON,Propriétés Privées,Castelnau-le-Lez,MAISON_DE_LUXE,https://www.bellespierres.com/photo-castelnau-le-lez-34-maison-de-luxe/d137/1375796/bb89ff47a42ecfc4586181f52895793a_d481f44ff958756aea006851fe5aa3b9_apx_1024_.jpg
0,102,609000,4,bien-exception-1375562,Appartement Valras-Plage - 102m²,34350,APPARTEMENT,IMMO DIFFUSION,Valras-Plage,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-valras-plage-34-appartement-de-luxe/d137/1375562/cb9d1a4dcbe29b34fd4e3fe8b5d3059a_f23f815024365f7d2103c82d4465dcbe_apx_1024_.jpg
3,131,620000,5,bien-exception-1375554,Maison Montferrier-sur-Lez - 3 chambres - 140m²,34980,MAISON,COMPTOIR IMMOBILIER DE FRANCE,Montferrier-sur-Lez,MAISON_DE_LUXE,https://www.bellespierres.com/photo-montferrier-sur-lez-34-maison-de-luxe/d137/1375554/1ecdd071ba99f15c21de0e65d7fd678b_bbd95f5563a88dc595af3dbf05fa9d5a_apx_1024_.jpg
3,131,620000,5,bien-exception-1375544,Maison Montferrier-sur-Lez - 3 chambres - 131m²,34980,MAISON,RESEAU FRANCE IMMOBILIER,Montferrier-sur-Lez,MAISON_DE_LUXE,https://www.bellespierres.com/photo-montferrier-sur-lez-34-maison-de-luxe/d137/1375544/65dc52eba826fce1d48d158ec0c65dc2_aed1870673cb0026fc55e01c8b0f0ba1_apx_1024_.jpg
4,144,595000,5,bien-exception-1375424,Maison Saint-Clément-de-Rivière - 4 chambres - 144m²,34980,MAISON,RESEAU FRANCE IMMOBILIER,Saint-Clément-de-Rivière,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-clement-de-riviere-34-maison-de-luxe/d137/1375424/c083efaf30fd50d07c0f6c9ec28cd8c7_9f3e75c2fdb47bc6ae944b77e3bb71a3_apx_1024_.jpg
