chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
8,510,897000,12,bien-exception-1375458,Villa Saint-Étienne-les-Orgues - 8 chambres - 510m²,04230,VILLA,DR HOUSE IMMOBILIER,Saint-Étienne-les-Orgues,VILLA,https://www.bellespierres.com/photo-saint-etienne-les-orgues-04-villa/d137/1375458/c3f5e90d2eb883076b7f8532d4792b88_1cadf617a810ead8977a36e938e6014c_apx_1024_.jpg
6,233,750000,8,bien-exception-1374749,Maison Manosque - 6 chambres,04100,MAISON,Propriétés Privées,Manosque,MAISON_DE_LUXE,https://www.bellespierres.com/photo-manosque-04-maison-de-luxe/d137/1374749/fc637bd0ad8b92b7146d0a70bcabc60e_94daf8b112655d997fa173dd316f8ba1_apx_1024_.jpg
4,200,684000,6,bien-exception-1374494,Maison Pierrevert - 4 chambres,04860,MAISON,Propriétés Privées,Pierrevert,MAISON_DE_LUXE,https://www.bellespierres.com/photo-pierrevert-04-maison-de-luxe/d137/1374494/ce8ca9648067da368fe24410975951ff_bd746ad878f0fffa6256857e5e1cb06f_apx_1024_.jpg
7,250,789000,10,bien-exception-1374480,Maison Cruis - 7 chambres,04230,MAISON,Propriétés Privées,Cruis,MAISON_DE_LUXE,https://www.bellespierres.com/photo-cruis-04-maison-de-luxe/d137/1374480/5774e532794f421ca07d9683ba686afa_a62f9eb8991cfee4e3a059db455180ea_apx_1024_.jpg
4,175,599500,5,bien-exception-1374479,Maison Pierrevert - 4 chambres,04860,MAISON,Propriétés Privées,Pierrevert,MAISON_DE_LUXE,https://www.bellespierres.com/photo-pierrevert-04-maison-de-luxe/d137/1374479/ec95c914b45d9e9d4c629c672b9cd560_1a90007b4e39abc7ce2fca480784959f_apx_1024_.jpg
6,600,1890000,15,bien-exception-1374408,Maison Forcalquier - 6 chambres - 600m²,04300,MAISON,AIX EN PROVENCE SOTHEBY'S INTERNATIONAL REALTY,Forcalquier,MAISON_DE_LUXE,https://www.bellespierres.com/photo-forcalquier-04-maison-de-luxe/d137/1374408/559ceb7c8929ede485df421c0ee0f245_3e3df3054c841022761c6cce42065d04_apx_1024_.jpg
14,465,1157500,20,bien-exception-1373114,Maison Quinson - 14 chambres - 465m²,04500,MAISON,MG IMMOBILIER,Quinson,MAISON_DE_LUXE,https://www.bellespierres.com/photo-quinson-04-maison-de-luxe/d137/1373114/c54628b64e5d7329f91ea0591eed908f_8894764fc8751a656c50fe99b85f2b81_apx_1024_.jpg
6,278,750000,10,bien-exception-1372630,Maison Sisteron - 6 chambres - 278m²,04200,MAISON,MG IMMOBILIER,Sisteron,MAISON_DE_LUXE,https://www.bellespierres.com/photo-sisteron-04-maison-de-luxe/d137/1372630/26d40aca7690125ed27ef8723a03fbee_8b12fc39ed00f74798dcb1f3c643eaf2_apx_1024_.jpg
3,443,1790000,20,bien-exception-1372047,Maison Digne-les-Bains - 3 chambres - 443m²,04000,MAISON,MG IMMOBILIER,Digne-les-Bains,MAISON_DE_LUXE,https://www.bellespierres.com/photo-digne-les-bains-04-maison-de-luxe/d137/1372047/08f1f73bbc8e0139afb2a9b7ec39a7a8_59a30816e1e13b6ed23b4d59eeac1a54_apx_1024_.jpg
7,268,660000,11,bien-exception-1371134,Maison Allemagne-en-Provence - 7 chambres,04500,MAISON,Propriétés Privées,Allemagne-en-Provence,MAISON_DE_LUXE,https://www.bellespierres.com/photo-allemagne-en-provence-04-maison-de-luxe/d137/1371134/f9a41b9eb37a74243ab41445d402e2bd_a95205959eeaa11b3cd3c3f5a14cf3de_apx_1024_.jpg
