chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
6,132,995000,8,bien-exception-1376033,Maison Colombes - 6 chambres,92700,MAISON,Propriétés Privées,Colombes,MAISON_DE_LUXE,https://www.bellespierres.com/photo-colombes-92-maison-de-luxe/d137/1376033/e7e24ffce8a4c1f1690522365c087672_30bed0434806fb6a5e4387244801ea73_apx_1024_.jpg
3,220,4100000,7,bien-exception-1375939,Appartement Neuilly-sur-Seine - 3 chambres - 220m²,92200,APPARTEMENT,PARIS OUEST SOTHEBY'S INTERNATIONAL REALTY,Neuilly-sur-Seine,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-neuilly-sur-seine-92-appartement-de-luxe/d137/1375939/419efaf6bae38ca1005708a8e4910f4a_bc1beb250d48e57e11050a4780f166dc_apx_1024_.jpg
5,225,1700000,8,bien-exception-1375934,Maison La Garenne-Colombes - 5 chambres - 225m²,92250,MAISON,PARIS OUEST SOTHEBY'S INTERNATIONAL REALTY,La Garenne-Colombes,MAISON_DE_LUXE,https://www.bellespierres.com/photo-la-garenne-colombes-92-maison-de-luxe/d137/1375934/9b5e07bc80cc634096de7e8267cb2aed_5bba897448f9f74fab4b9f8030463ac8_apx_1024_.jpg
5,140,895000,7,bien-exception-1375888,Villa Rueil-Malmaison - 5 chambres - 140m²,92500,VILLA,DR HOUSE IMMOBILIER,Rueil-Malmaison,VILLA,https://www.bellespierres.com/photo-rueil-malmaison-92-villa/d137/1375888/59d69e88b0342bb2165b2c0ab0d7488e_12b0b4df5a96ba33f3904c9e0ceda24f_apx_1024_.jpg
0,117,922800,5,bien-exception-1375768,Maison Levallois-Perret - 117m²,92300,MAISON,IMMO DIFFUSION,Levallois-Perret,MAISON_DE_LUXE,https://www.bellespierres.com/photo-levallois-perret-92-maison-de-luxe/d137/1375768/0271cd230a77b7a31837ca88466ae7c7_67c782398c10f62e2bbe9d6f40d25c1d_apx_1024_.jpg
5,229,1380000,6,bien-exception-1375627,Propriété Malakoff - 5 chambres,92240,PROPRIETE,Propriétés Privées,Malakoff,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-malakoff-92-propriete-de-luxe/d137/1375627/2bcabaef66349aeecd4b0584ec56ac6f_02b249e766c1507e066399ce862b18b1_apx_1024_.jpg
3,160,1340000,6,bien-exception-1375625,Maison Clamart - 3 chambres,92140,MAISON,Propriétés Privées,Clamart,MAISON_DE_LUXE,https://www.bellespierres.com/photo-clamart-92-maison-de-luxe/d137/1375625/fd8d7b966143b011e50bb929b0a19092_c2ab80f7a4f71eef61dda70caa3bc8fd_apx_1024_.jpg
4,234,4100000,5,bien-exception-1375538,Appartement Neuilly-sur-Seine - 4 chambres - 234m²,92200,APPARTEMENT,PARIS OUEST SOTHEBY'S INTERNATIONAL REALTY,Neuilly-sur-Seine,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-neuilly-sur-seine-92-appartement-de-luxe/d137/1375538/53c4f5228692e3538445c06779410965_84b4265b3d2d557848374b8434c28452_apx_1024_.jpg
3,140,1138500,6,bien-exception-1375457,Appartement Puteaux - 3 chambres - 140m²,92800,APPARTEMENT,DR HOUSE IMMOBILIER,Puteaux,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-puteaux-92-appartement-de-luxe/d137/1375457/a5160b74dccc06f1e49210b850e62917_d2987e88e381ce7aba92c2658f93c5f5_apx_1024_.jpg
2,116,1100000,4,bien-exception-1375189,Appartement Neuilly-sur-Seine - 2 chambres - 116m²,92200,APPARTEMENT,DR HOUSE IMMOBILIER,Neuilly-sur-Seine,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-neuilly-sur-seine-92-appartement-de-luxe/d137/1375189/3e1efb87831338491dca20281c093466_40100f04fe2eef6c34eed040c60fbc03_apx_1024_.jpg
