chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
3,262,595000,7,bien-exception-1368469,Villa Beaulieu-sur-Dordogne - 3 chambres - 262m²,19120,VILLA,DR HOUSE IMMOBILIER,Beaulieu-sur-Dordogne,VILLA,https://www.bellespierres.com/photo-beaulieu-sur-dordogne-19-villa/d136/1368469/2cd366e5b167c75e532f93d235290f5a_87da9575986912bb9ad737466255159a_apx_1024_.jpg
4,340,673400,5,bien-exception-1367341,Maison Aubazines - 4 chambres,19190,MAISON,Propriétés Privées,Aubazines,MAISON_DE_LUXE,https://www.bellespierres.com/photo-aubazines-19-maison-de-luxe/d136/1367341/0547422578044af183fdd155d28d288d_ee0f28d45cf156df882514056aee238c_apx_1024_.jpg
3,180,832000,8,bien-exception-1367232,Villa Brive-la-Gaillarde - 3 chambres - 180m²,19100,VILLA,DR HOUSE IMMOBILIER,Brive-la-Gaillarde,VILLA,https://www.bellespierres.com/photo-brive-la-gaillarde-19-villa/d136/1367232/f41a713312ac4c8794b3de9384591f9f_4d5e33002c1c56392b353c196f361b80_apx_1024_.jpg
35,1700,2310000,21,bien-exception-1367018,Propriété Brive-la-Gaillarde - 35 chambres - 1700m²,19100,PROPRIETE,Marie Miramant,Brive-la-Gaillarde,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-brive-la-gaillarde-19-propriete-de-luxe/d136/1367018/6018e4f3362c41341a6d73023630948f_be46af4722449e46fc456d16b404f5ef_apx_1024_.jpg
5,159,490680,7,bien-exception-1366402,Villa Brive-la-Gaillarde - 5 chambres - 159m²,19100,VILLA,DR HOUSE IMMOBILIER,Brive-la-Gaillarde,VILLA,https://www.bellespierres.com/photo-brive-la-gaillarde-19-villa/d136/1366402/074d2660b593a2c595bd09dadfe9341d_5f220a32b2eae14517f0192428ea3255_apx_1024_.jpg
0,1150,575000,21,bien-exception-1362233,Maison Aubazines,19190,MAISON,Propriétés Privées,Aubazines,MAISON_DE_LUXE,https://www.bellespierres.com/photo-aubazines-19-maison-de-luxe/d136/1362233/4dbf8e63009ee3503ecc927d5ffcf44c_aa24fe968534cfffdbe2063588c706d1_apx_1024_.jpg
7,726,2150000,14,bien-exception-1360529,Château Turenne - 7 chambres - 726m²,19500,CHATEAU,Prestant Perigord,Turenne,CHATEAU,https://www.bellespierres.com/photo-turenne-19-chateau/d136/1360529/000e5b93b1c77bf232d101ee8fa36308_83f0766514ca21849ffb9ac769b7a0a3_apx_1024_.jpg
0,304,499900,6,bien-exception-1354664,Maison Brive-la-Gaillarde - 304m²,19100,MAISON,PÉRIGORD SOTHEBY'S INTERNATIONAL REALTY,Brive-la-Gaillarde,MAISON_DE_LUXE,https://www.bellespierres.com/photo-brive-la-gaillarde-19-maison-de-luxe/d135/1354664/e0d5b86da5514714109d4094f60c955e_54723817b6c53fa08753195f00ec6162_apx_1024_.jpg
5,192,498500,8,bien-exception-1331884,Villa Beaulieu-sur-Dordogne - 5 chambres - 192m²,19120,VILLA,DR HOUSE IMMOBILIER,Beaulieu-sur-Dordogne,VILLA,https://www.bellespierres.com/photo-beaulieu-sur-dordogne-19-villa/d133/1331884/91061c5587c304b80660576fd56c4e0b_ea1fb790b49d0ab4eb56fef7a38569c5_apx_1024_.jpg
