chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
5,212,925600,10,bien-exception-1375603,Propriété Marcoussis - 5 chambres,91460,PROPRIETE,Propriétés Privées,Marcoussis,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-marcoussis-91-propriete-de-luxe/d137/1375603/529b53d5c3a2f9b6c7905ec1ede6e237_fc877780157eeb78c503684083a0f9a2_apx_1024_.jpg
0,269,890000,2,bien-exception-1375219,Maison Sainte-Geneviève-des-Bois,91700,MAISON,Propriétés Privées,Sainte-Geneviève-des-Bois,MAISON_DE_LUXE,https://www.bellespierres.com/photo-sainte-genevieve-des-bois-91-maison-de-luxe/d137/1375219/c580fae3bb2615fa7d61eac4305312b8_ca587467751ef680ced5452b2984f823_apx_1024_.jpg
6,330,1248000,10,bien-exception-1371136,Propriété Janvry - 6 chambres,91640,PROPRIETE,Propriétés Privées,Janvry,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-janvry-91-propriete-de-luxe/d137/1371136/55a2fc3bea520e70bac4caa8ed61e708_e4636f548f6091f16f25ca9dcc6b9925_apx_1024_.jpg
6,211,945000,8,bien-exception-1371132,Maison Chilly-Mazarin - 6 chambres,91380,MAISON,Propriétés Privées,Chilly-Mazarin,MAISON_DE_LUXE,https://www.bellespierres.com/photo-chilly-mazarin-91-maison-de-luxe/d137/1371132/01e096c4e5d5fa9b676c194561884d75_d93d0c5e55f1bca10469de6f053fbcc5_apx_1024_.jpg
6,310,1282000,10,bien-exception-1369900,Maison Villebon-sur-Yvette - 6 chambres,91140,MAISON,Propriétés Privées,Villebon-sur-Yvette,MAISON_DE_LUXE,https://www.bellespierres.com/photo-villebon-sur-yvette-91-maison-de-luxe/d136/1369900/e47067872e93f070e8d715fc17cd25bd_6f564a68d9f73aa685ea2c6ea847ff33_apx_1024_.jpg
7,500,2490000,10,bien-exception-1369034,Maison Yerres - 7 chambres - 500m²,91330,MAISON,Paris Est Sotheby's International Realty,Yerres,MAISON_DE_LUXE,https://www.bellespierres.com/photo-yerres-91-maison-de-luxe/d136/1369034/fb95b59c6bdb7602b24dc594239681b2_35c612f36ef43238c2f1f7472e2a93d2_apx_1024_.jpg
16,910,1200000,21,bien-exception-1365754,Propriété Breuillet - 16 chambres - 910m²,91650,PROPRIETE,Cabinet LE NAIL,Breuillet,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-breuillet-91-propriete-de-luxe/d136/1365754/a0d6bc96b0e677349be4abee9eb24c07_8d63c53fa22f8e851dd98444a264ea04_apx_1024_.jpg
14,1000,3060000,16,bien-exception-1363640,Château Morigny-Champigny - 14 chambres - 1250m²,91150,CHATEAU,Abriculteurs,Morigny-Champigny,CHATEAU,https://www.bellespierres.com/photo-morigny-champigny-91-chateau/d136/1363640/9359fe307e7c1cbc54ae843f24c654f7_40eeca85a00d5ed11f47a437a2d1e788_apx_1024_.jpg
5,350,1450000,12,bien-exception-1361215,Maison Viry-Châtillon - 5 chambres,91170,MAISON,Propriétés Privées,Viry-Châtillon,MAISON_DE_LUXE,https://www.bellespierres.com/photo-viry-chatillon-91-maison-de-luxe/d136/1361215/6ae2878c465b25c46414143e3b6bc883_90d8007b758e091a4ffe88f96a70f9fc_apx_1024_.jpg
7,320,798000,15,bien-exception-1358574,Maison Saint-Chéron - 7 chambres - 320m²,91530,MAISON,Clairefontaine Propriétés,Saint-Chéron,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-cheron-91-maison-de-luxe/d135/1358574/ddc467667702266394e5e63547641f84_f74f621e58c22199c6527b21f4fbb8f8_apx_1024_.jpg
6,260,890000,10,bien-exception-1328326,Maison Chalo-Saint-Mars - 6 chambres - 260m²,91780,MAISON,COMPTOIR IMMOBILIER DE FRANCE,Chalo-Saint-Mars,MAISON_DE_LUXE,https://www.bellespierres.com/photo-chalo-saint-mars-91-maison-de-luxe/d132/1328326/a7847e07cb6a509aa2f001730dd12b6b_c67d640de684c5b6b200d348ae193561_apx_1024_.jpg
4,173,832000,0,bien-exception-1313680,Maison Boutigny-sur-Essonne - 4 chambres - 750m²,91820,MAISON,COMPTOIR IMMOBILIER DE FRANCE,Boutigny-sur-Essonne,MAISON_DE_LUXE,https://www.bellespierres.com/photo-boutigny-sur-essonne-91-maison-de-luxe/d131/1313680/2d16cc44b8293b5935b4099609e50b4b_5b6a95a3f7e6c38981ae4f2d52fdb214_apx_1024_.jpg
