chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
5,159,789000,6,bien-exception-1376010,Maison Villy-le-Pelloux - 5 chambres,74350,MAISON,Propriétés Privées,Villy-le-Pelloux,MAISON_DE_LUXE,https://www.bellespierres.com/photo-villy-le-pelloux-74-maison-de-luxe/d137/1376010/0cf95a9cfb24c018d509811308ac7a14_1662a2687715dd2144127cfd2c8c54d2_apx_1024_.jpg
5,438,1872000,10,bien-exception-1375993,Maison Vétraz-Monthoux - 5 chambres - 438m²,74100,MAISON,IKAMI,Vétraz-Monthoux,MAISON_DE_LUXE,https://www.bellespierres.com/photo-vetraz-monthoux-74-maison-de-luxe/d137/1375993/fb4aa60897dddd81257ffcfcbe439ff4_a860b98b2c05776a6126661dc15c44b3_apx_1024_.jpg
5,317,790000,7,bien-exception-1375991,Maison Viry - 5 chambres - 317m²,74580,MAISON,RÉSEAU SWIXIM,Viry,MAISON_DE_LUXE,https://www.bellespierres.com/photo-viry-74-maison-de-luxe/d137/1375991/903970df3459533b3280941fbcf9f5af_ea937e15a29d6b5bf570618246786d41_apx_1024_.jpg
3,81,695000,4,bien-exception-1375932,Appartement Annecy - 3 chambres - 81m²,74000,APPARTEMENT,Annecy Sotheby's International Realty,Annecy,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-annecy-74-appartement-de-luxe/d137/1375932/92ff801d2de346ed1d8d10e963d14063_2e38ab88ed6b343cefffbca44a10b86a_apx_1024_.jpg
5,170,954000,6,bien-exception-1375890,Maison Allinges - 5 chambres - 170m²,74200,MAISON,RESEAU EXPERTIMO,Allinges,MAISON_DE_LUXE,https://www.bellespierres.com/photo-allinges-74-maison-de-luxe/d137/1375890/d8ec49d9eb4091d465ab4a8eba03ec35_a8a08cd0cad7355e670829b038a3db2d_apx_1024_.jpg
4,280,3255000,9,bien-exception-1375787,Maison Annecy - 4 chambres - 310m²,74000,MAISON,IKAMI,Annecy,MAISON_DE_LUXE,https://www.bellespierres.com/photo-annecy-74-maison-de-luxe/d137/1375787/f56a08277c22bf69191357a4032da9f0_18ac6fb10acafedd53db45201c906dd6_apx_1024_.jpg
3,118,636000,5,bien-exception-1375696,Maison Douvaine - 3 chambres - 118m²,74140,MAISON,RÉSEAU SWIXIM,Douvaine,MAISON_DE_LUXE,https://www.bellespierres.com/photo-douvaine-74-maison-de-luxe/d137/1375696/df2183207c8832bb3060a9add20c069d_80d9c305598aa6e107cbf80497bf2757_apx_1024_.jpg
4,40,725000,5,bien-exception-1375695,Maison Viry - 4 chambres - 40m²,74580,MAISON,RÉSEAU SWIXIM,Viry,MAISON_DE_LUXE,https://www.bellespierres.com/photo-viry-74-maison-de-luxe/d137/1375695/71999273170d51fb10ceb875c7d5cc0a_1bb3e861f620c099e777b378deee96a5_apx_1024_.jpg
5,174,640000,7,bien-exception-1375618,Maison Domancy - 5 chambres,74700,MAISON,Propriétés Privées,Domancy,MAISON_DE_LUXE,https://www.bellespierres.com/photo-domancy-74-maison-de-luxe/d137/1375618/1063dc0423e89c3a5704f58369554872_7dd9a7b70782884ad9a71bb10d3a29cd_apx_1024_.jpg
4,167,960000,5,bien-exception-1375537,Maison Ballaison - 4 chambres - 167m²,74140,MAISON,LAC LEMAN SOTHEBY'S INT. REALTY,Ballaison,MAISON_DE_LUXE,https://www.bellespierres.com/photo-ballaison-74-maison-de-luxe/d137/1375537/81943216503818ba87272c2efe4c04af_7a8197cefc741619384c25c42a03d6f7_apx_1024_.jpg
7,152,2500000,8,bien-exception-1375536,Maison Thonon-les-Bains - 7 chambres - 152m²,74200,MAISON,Evian Sotheby's International Realty,Thonon-les-Bains,MAISON_DE_LUXE,https://www.bellespierres.com/photo-thonon-les-bains-74-maison-de-luxe/d137/1375536/4eaea9948e407f32bd8451811d10c297_d903659dd8129eb63767306af87f2171_apx_1024_.jpg
0,217,3700000,5,bien-exception-1375521,Appartement Megève - 217m²,74120,APPARTEMENT,L'AGENCE FIEDLER & ROSNER MEGÈVE,Megève,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-megeve-74-appartement-de-luxe/d137/1375521/aae1517e5972c5f7566b5ab6fb6a91eb_094221eca13d53f45329d02fd34bef2a_apx_1024_.jpg
4,175,2190000,9,bien-exception-1375397,Chalet Combloux - 4 chambres - 175m²,74920,CHALET,Cimalpes,Combloux,CHALET,https://www.bellespierres.com/photo-combloux-74-chalet/d137/1375397/0227b5a45a04f2792c869de93b3ee398_a11b450408feae63e2a8620a32e09682_apx_1024_.jpg
4,220,890000,9,bien-exception-1375255,Maison Contamine-sur-Arve - 4 chambres,74130,MAISON,Propriétés Privées,Contamine-sur-Arve,MAISON_DE_LUXE,https://www.bellespierres.com/photo-contamine-sur-arve-74-maison-de-luxe/d137/1375255/8cec4a9ba4e2a81c84dc26cc3b7d74a9_38af8c83935e10511b7978bca7803625_apx_1024_.jpg
1,35,780000,2,bien-exception-1375134,Appartement Megève - 1 chambre - 37m²,74120,APPARTEMENT,CHRISTIE’S INTERNATIONAL REAL ESTATE MEGEVE,Megève,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-megeve-74-appartement-de-luxe/d137/1375134/9f37a7060d15ae657240a6e2fa42da6a_dafe751dc8476739c77d3350d567c9b2_apx_1024_.jpg
3,98,738000,4,bien-exception-1375096,Appartement Praz-sur-Arly - 3 chambres - 98m²,74120,APPARTEMENT,Cimalpes,Praz-sur-Arly,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-praz-sur-arly-74-appartement-de-luxe/d137/1375096/b92a7820aee7b2efdf3932c1291a6892_db5196f516661700ce2c439a1801efaa_apx_1024_.jpg
