chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
7,520,945000,11,bien-exception-1375653,Maison La Ferté-Saint-Aubin - 7 chambres - 520m²,45240,MAISON,Val De Loire Sologne - Sotheby's International Realty,La Ferté-Saint-Aubin,MAISON_DE_LUXE,https://www.bellespierres.com/photo-la-ferte-saint-aubin-45-maison-de-luxe/d137/1375653/2025bac976d2821d0d8eac302c5efae3_26e4223490121da73a8dfec73d9c6947_apx_1024_.jpg
5,193,790000,7,bien-exception-1375084,Maison Olivet - 5 chambres - 210m²,45160,MAISON,Cabinet De Rocquigny,Olivet,MAISON_DE_LUXE,https://www.bellespierres.com/photo-olivet-45-maison-de-luxe/d137/1375084/31eec63ba0bdf25ee3f3d87471df0108_ad5aa13f45a0190a56a5da4b86e1b453_apx_1024_.jpg
4,220,545400,8,bien-exception-1374855,Maison Orléans - 4 chambres,45000,MAISON,Propriétés Privées,Orléans,MAISON_DE_LUXE,https://www.bellespierres.com/photo-orleans-45-maison-de-luxe/d137/1374855/fb0021ea72bf346e5e8d301bb64dfc65_0a4a69e654de349a78266d06530233d6_apx_1024_.jpg
10,710,2250000,13,bien-exception-1374790,Maison Isdes - 10 chambres - 710m²,45620,MAISON,Val De Loire Sologne - Sotheby's International Realty,Isdes,MAISON_DE_LUXE,https://www.bellespierres.com/photo-isdes-45-maison-de-luxe/d137/1374790/8577f914448f52a9a95b300ef367addc_759c58140187f06164e3411781526e3b_apx_1024_.jpg
6,201,728000,8,bien-exception-1373494,Maison La Chapelle-Saint-Mesmin - 6 chambres - 201m²,45380,MAISON,Cabinet De Rocquigny,La Chapelle-Saint-Mesmin,MAISON_DE_LUXE,https://www.bellespierres.com/photo-la-chapelle-saint-mesmin-45-maison-de-luxe/d137/1373494/a751b881143044c46bb1424b619a3caa_df213dc438ae8f535c6f17db763feff3_apx_1024_.jpg
9,470,1890000,12,bien-exception-1373384,Hôtel particulier Orléans - 9 chambres - 470m²,45000,HOTEL PARTICULIER,BARNES Centre Sologne Val de Loire,Orléans,HOTEL_PARTICULIER,https://www.bellespierres.com/photo-orleans-45-hotel-particulier/d137/1373384/5ded5f8aa116c7131a384fbf58e06086_afd786a3e1cf5b034edb1529cdf077ea_apx_1024_.jpg
4,316,811200,11,bien-exception-1373132,Villa Montargis - 4 chambres - 316m²,45200,VILLA,DR HOUSE IMMOBILIER,Montargis,VILLA,https://www.bellespierres.com/photo-montargis-45-villa/d137/1373132/d18f90ad5f0e6a6583b8c3d7d7939bc4_1f9726d7f9e35f552e4421aeb0425d05_apx_1024_.jpg
6,430,826800,13,bien-exception-1372828,Maison Vienne-en-Val - 6 chambres - 430m²,45510,MAISON,Val De Loire Sologne - Sotheby's International Realty,Vienne-en-Val,MAISON_DE_LUXE,https://www.bellespierres.com/photo-vienne-en-val-45-maison-de-luxe/d137/1372828/2b1c009640d81f3e3547b8f23bd1d9ab_5e9e08896f3576740b0076adbe5ea78f_apx_1024_.jpg
6,268,892000,10,bien-exception-1372737,Maison Orléans - 6 chambres - 270m²,45000,MAISON,Cabinet De Rocquigny,Orléans,MAISON_DE_LUXE,https://www.bellespierres.com/photo-orleans-45-maison-de-luxe/d137/1372737/5ea6d42427778930ed7d10dc38c394c4_3c9d54b6b6ba932ab1e0361370f9d918_apx_1024_.jpg
7,276,749900,10,bien-exception-1372062,Villa Orléans - 7 chambres - 276m²,45000,VILLA,DR HOUSE IMMOBILIER,Orléans,VILLA,https://www.bellespierres.com/photo-orleans-45-villa/d137/1372062/eb0b8ea74e9588fd8d392a047341edb3_733e4d9bc04c3f4bc084f31dc239ddb6_apx_1024_.jpg
4,218,980000,7,bien-exception-1372015,Maison Ingré - 4 chambres - 218m²,45140,MAISON,Val De Loire Sologne - Sotheby's International Realty,Ingré,MAISON_DE_LUXE,https://www.bellespierres.com/photo-ingre-45-maison-de-luxe/d137/1372015/699837b11f458abc08a666cec78105af_66eef08a6e4c79ed97288e37439e5578_apx_1024_.jpg
6,332,1207500,11,bien-exception-1372014,Maison La Chapelle-Saint-Mesmin - 6 chambres - 332m²,45380,MAISON,Val De Loire Sologne - Sotheby's International Realty,La Chapelle-Saint-Mesmin,MAISON_DE_LUXE,https://www.bellespierres.com/photo-la-chapelle-saint-mesmin-45-maison-de-luxe/d137/1372014/1006f1101ef7ec61f0e450ab95e49b2f_bf46c8b473998dad7a10c1626fcf660f_apx_1024_.jpg
6,200,799260,6,bien-exception-1371578,Maison Saint-Pryvé-Saint-Mesmin - 6 chambres - 200m²,45750,MAISON,Val De Loire Sologne - Sotheby's International Realty,Saint-Pryvé-Saint-Mesmin,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-pryve-saint-mesmin-45-maison-de-luxe/d137/1371578/499e33b618dbbc526fdde9ffac3534f1_5aef7d831f9cbd39806eeebe5fee80f4_apx_1024_.jpg
