chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
3,316,990000,10,bien-exception-1373991,Appartement Saint-Étienne - 3 chambres - 316m²,42000,APPARTEMENT,NEYRET IMMOBILIER,Saint-Étienne,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-saint-etienne-42-appartement-de-luxe/d137/1373991/ac23a12296ba869f86b396a5c8c040ac_a7d9619a3c08bcd483b1ead8a4037860_apx_1024_.jpg
3,316,990000,10,bien-exception-1373962,Appartement Saint-Étienne - 3 chambres - 316m²,42000,APPARTEMENT,NEYRET IMMOBILIER,Saint-Étienne,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-saint-etienne-42-appartement-de-luxe/d137/1373962/ac23a12296ba869f86b396a5c8c040ac_a7d9619a3c08bcd483b1ead8a4037860_apx_1024_.jpg
3,138,549000,6,bien-exception-1366955,Maison Châteauneuf - 3 chambres,42800,MAISON,Propriétés Privées,Châteauneuf,MAISON_DE_LUXE,https://www.bellespierres.com/photo-chateauneuf-42-maison-de-luxe/d136/1366955/42bef64a47e3d15d2482a6aee008249c_c7d8dad26192240818ad26f4b4a1a3c3_apx_1024_.jpg
5,272,790000,8,bien-exception-1364618,Maison Saint-Priest-en-Jarez - 5 chambres - 272m²,42270,MAISON,42E AVENUE IMMOBILIER,Saint-Priest-en-Jarez,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-priest-en-jarez-42-maison-de-luxe/d136/1364618/382000de9b3a43182d0553c7676d93af_733a121ed0309ce25935dd0649e0f8ae_apx_1024_.jpg
5,230,850000,8,bien-exception-1364581,Propriété La Fouillouse - 5 chambres,42480,PROPRIETE,Propriétés Privées,La Fouillouse,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-la-fouillouse-42-propriete-de-luxe/d136/1364581/2d0ac37b5e25a29fcc63b3d3bba59229_d0b2cc93d2114e989f6f59829a483f2e_apx_1024_.jpg
0,0,780000,19,bien-exception-1362186,Maison Roanne,42300,MAISON,Propriétés Privées,Roanne,MAISON_DE_LUXE,https://www.bellespierres.com/photo-roanne-42-maison-de-luxe/d136/1362186/4b9e623443d2172d6dbf80ac87beca66_ca64aea7464f0776606b8331ba58bd9b_apx_1024_.jpg
4,280,600000,8,bien-exception-1361201,Maison Saint-Just-Saint-Rambert - 4 chambres,42170,MAISON,Propriétés Privées,Saint-Just-Saint-Rambert,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-just-saint-rambert-42-maison-de-luxe/d136/1361201/b469961c94579f29cb58d15a872273aa_8b827c002e3f2f7d76cd43fd955bcf67_apx_1024_.jpg
4,400,895000,5,bien-exception-1360618,Maison Saint-Laurent-la-Conche - 4 chambres - 400m²,42210,MAISON,SAFER AUVERGNE RHONE ALPES,Saint-Laurent-la-Conche,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-laurent-la-conche-42-maison-de-luxe/d136/1360618/68446d57b867928726e37bfc34cc726d_b97bfc3a0330ca6388d1b3006258eee7_apx_1024_.jpg
5,221,599000,8,bien-exception-1359731,Villa Saint-Paul-en-Cornillon - 5 chambres - 221m²,42240,VILLA,42E AVENUE IMMOBILIER,Saint-Paul-en-Cornillon,VILLA,https://www.bellespierres.com/photo-saint-paul-en-cornillon-42-villa/d135/1359731/7bab7072b3d121f421d3cb7942ea1ecd_19bd91d04fcb597eee65fd899c4f74db_apx_1024_.jpg
0,600,1365000,15,bien-exception-1348334,Maison Saint-Cyr-de-Favières - 600m²,42123,MAISON,Equestrian Immobilier,Saint-Cyr-de-Favières,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-cyr-de-favieres-42-maison-de-luxe/d134/1348334/f209d87744e39f9cc8277cbdcc7004b9_5e9778919936ae81b55ecaf8ad55eed9_apx_1024_.jpg
0,507,999000,0,bien-exception-1329335,Maison Saint-Étienne - 507m²,42000,MAISON,IMMO DIFFUSION,Saint-Étienne,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-etienne-42-maison-de-luxe/d132/1329335/9f20d3ffbb0b0e074f497d8c25a1ae52_28c58434b36fd3dcd824288b520b4305_apx_1024_.jpg
