chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
7,270,550000,12,bien-exception-1374445,Maison Bletterans - 7 chambres - 270m²,39140,MAISON,IDLR ENTREPRISES ET COMMERCES,Bletterans,MAISON_DE_LUXE,https://www.bellespierres.com/photo-bletterans-39-maison-de-luxe/d137/1374445/fe6453bcf326c4201bbaf6fbf61d7960_d25c44d83ab6cab94f61b5ba206acaaf_apx_1024_.jpg
3,220,590000,5,bien-exception-1371957,Propriété Asnans-Beauvoisin - 3 chambres,39120,PROPRIETE,Propriétés Privées,Asnans-Beauvoisin,PROPRIETE_DE_LUXE,https://www.bellespierres.com/photo-asnans-beauvoisin-39-propriete-de-luxe/d137/1371957/c7c7119f94588ccf1d87cbbd48abbf00_492a451ca1c296e9b0144fbf11e185c9_apx_1024_.jpg
6,510,750000,11,bien-exception-1365549,Maison Lons-le-Saunier - 6 chambres - 510m²,39000,MAISON,COMPTOIR IMMOBILIER DE FRANCE,Lons-le-Saunier,MAISON_DE_LUXE,https://www.bellespierres.com/photo-lons-le-saunier-39-maison-de-luxe/d136/1365549/4b6b96a5835b745aa0ae29998626b362_17d72f73393a657c6b8a8d14bc220a00_apx_1024_.jpg
6,320,665000,10,bien-exception-1359278,Maison Saint-Claude - 6 chambres - 320m²,39200,MAISON,IKAMI,Saint-Claude,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-claude-39-maison-de-luxe/d135/1359278/aa578654a1d02538bb43aca79b269975_87a5bb048052acda3253d460893c0eca_apx_1024_.jpg
4,331,580000,10,bien-exception-1358211,Maison Saint-Amour - 4 chambres - 331m²,39160,MAISON,IKAMI,Saint-Amour,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-amour-39-maison-de-luxe/d135/1358211/1cb0ac961d431ac654144d214fc041f5_d95f160c5401df88295736bab56245bd_apx_1024_.jpg
0,1600,600000,20,bien-exception-1353609,Maison Hauts de Bienne - 1780m²,39400,MAISON,RÉSEAU SWIXIM,Hauts de Bienne,MAISON_DE_LUXE,https://www.bellespierres.com/photo-hauts-de-bienne-39-maison-de-luxe/d135/1353609/0107dde2612d385297f361ffa93e76af_a8cbf9d11ab3833e1386b040343a90f9_apx_1024_.jpg
5,240,577500,9,bien-exception-1336846,Maison Macornay - 5 chambres - 240m²,39570,MAISON,IDLR ENTREPRISES ET COMMERCES,Macornay,MAISON_DE_LUXE,https://www.bellespierres.com/photo-macornay-39-maison-de-luxe/d133/1336846/a55931e1c393caab19a85811c8c73ea8_01d6902920bcdf5a7757be3beda4c93e_apx_1024_.jpg
